Checking Status,Credit History,Purpose,Credit Requested,Saving Status,Employment,Age,Class
0<=X<200,existing paid,furniture/equipment,1577,>=1000,<1,20,good
no checking,existing paid,furniture/equipment,3972,<100,4<=X<7,25,good
0<=X<200,critical/other existing credit,business,1935,<100,>=7,31,bad
<0,no credits/all paid,new car,950,<100,>=7,33,bad
no checking,existing paid,furniture/equipment,763,<100,1<=X<4,26,good
0<=X<200,delayed previously,furniture/equipment,2064,<100,unemployed,34,bad
0<=X<200,existing paid,radio/tv,1414,<100,1<=X<4,33,good
<0,delayed previously,education,3414,<100,<1,26,bad
no checking,no credits/all paid,used car,7485,unknown,unemployed,53,bad
<0,existing paid,furniture/equipment,2577,<100,1<=X<4,42,good
<0,critical/other existing credit,radio/tv,338,500<=X<1000,>=7,52,good
no checking,existing paid,radio/tv,1963,<100,4<=X<7,31,good
<0,critical/other existing credit,new car,571,<100,>=7,65,good
no checking,delayed previously,business,9572,<100,<1,28,bad
0<=X<200,delayed previously,business,4455,<100,1<=X<4,30,bad
<0,no credits/all paid,new car,1647,unknown,1<=X<4,40,bad
no checking,critical/other existing credit,furniture/equipment,3777,>=1000,1<=X<4,50,good
0<=X<200,critical/other existing credit,new car,884,<100,>=7,36,bad
no checking,critical/other existing credit,radio/tv,1360,<100,1<=X<4,31,good
0<=X<200,no credits/all paid,used car,5129,<100,>=7,74,bad
0<=X<200,critical/other existing credit,new car,1175,<100,unemployed,68,good
<0,existing paid,radio/tv,674,100<=X<500,4<=X<7,20,bad
0<=X<200,no credits/all paid,furniture/equipment,3244,<100,1<=X<4,33,good
no checking,existing paid,business,4591,>=1000,1<=X<4,54,bad
0<=X<200,no credits/all paid,business,3844,100<=X<500,4<=X<7,34,bad
0<=X<200,existing paid,business,3915,<100,1<=X<4,36,bad
no checking,existing paid,radio/tv,2108,<100,4<=X<7,29,good
0<=X<200,existing paid,radio/tv,3031,100<=X<500,1<=X<4,21,bad
0<=X<200,critical/other existing credit,education,1501,<100,>=7,34,bad
no checking,critical/other existing credit,radio/tv,1382,<100,1<=X<4,28,good
0<=X<200,existing paid,furniture/equipment,951,100<=X<500,<1,27,bad
0<=X<200,existing paid,used car,2760,unknown,>=7,36,good
0<=X<200,delayed previously,furniture/equipment,4297,<100,>=7,40,bad
no checking,critical/other existing credit,education,936,500<=X<1000,>=7,52,good
<0,existing paid,new car,1168,<100,1<=X<4,27,good
no checking,delayed previously,business,5117,<100,4<=X<7,26,good
<0,existing paid,retraining,902,<100,4<=X<7,21,bad
no checking,critical/other existing credit,new car,1495,<100,>=7,38,good
<0,critical/other existing credit,used car,10623,<100,>=7,38,good
no checking,critical/other existing credit,furniture/equipment,1935,<100,>=7,43,good
0<=X<200,critical/other existing credit,furniture/equipment,1424,<100,4<=X<7,26,good
<0,existing paid,business,6568,<100,1<=X<4,21,good
no checking,existing paid,used car,1413,>=1000,4<=X<7,55,good
no checking,critical/other existing credit,radio/tv,3074,unknown,1<=X<4,33,good
no checking,existing paid,radio/tv,3835,unknown,>=7,45,good
<0,no credits/all paid,business,5293,<100,unemployed,50,bad
>=200,delayed previously,business,1908,<100,>=7,66,bad
no checking,critical/other existing credit,radio/tv,3342,unknown,>=7,51,good
0<=X<200,critical/other existing credit,retraining,932,unknown,4<=X<7,39,good
<0,no credits/all paid,business,3104,<100,4<=X<7,31,good
>=200,existing paid,radio/tv,3913,<100,1<=X<4,23,good
<0,existing paid,furniture/equipment,3021,<100,1<=X<4,24,good
no checking,existing paid,new car,1364,<100,1<=X<4,64,good
0<=X<200,existing paid,radio/tv,625,<100,<1,26,good
<0,existing paid,education,1200,unknown,1<=X<4,23,good
no checking,existing paid,radio/tv,707,<100,1<=X<4,30,good
no checking,delayed previously,business,2978,unknown,1<=X<4,32,good
no checking,existing paid,used car,4657,<100,1<=X<4,30,good
no checking,no credits/all paid,repairs,2613,<100,1<=X<4,27,good
0<=X<200,existing paid,radio/tv,10961,>=1000,4<=X<7,27,bad
<0,existing paid,furniture/equipment,7865,<100,>=7,53,bad
no checking,existing paid,radio/tv,1478,<100,4<=X<7,22,bad
<0,existing paid,furniture/equipment,3149,<100,<1,22,good
>=200,existing paid,radio/tv,4210,<100,1<=X<4,26,bad
no checking,existing paid,new car,2507,500<=X<1000,>=7,51,good
no checking,existing paid,radio/tv,2141,100<=X<500,4<=X<7,35,good
0<=X<200,existing paid,radio/tv,866,<100,1<=X<4,25,good
no checking,critical/other existing credit,radio/tv,1544,<100,4<=X<7,42,good
<0,existing paid,radio/tv,1823,<100,unemployed,30,bad
0<=X<200,existing paid,new car,14555,unknown,unemployed,23,bad
0<=X<200,existing paid,business,2767,100<=X<500,>=7,61,bad
no checking,critical/other existing credit,radio/tv,1291,<100,1<=X<4,35,good
<0,existing paid,radio/tv,2522,<100,>=7,39,good
<0,existing paid,new car,915,unknown,>=7,29,bad
no checking,existing paid,radio/tv,1595,<100,4<=X<7,51,good
<0,no credits/all paid,used car,4605,<100,>=7,24,bad
no checking,critical/other existing credit,business,1185,<100,1<=X<4,27,good
no checking,no credits/all paid,retraining,3447,500<=X<1000,1<=X<4,35,good
no checking,existing paid,business,1258,<100,4<=X<7,25,good
no checking,critical/other existing credit,radio/tv,717,<100,>=7,52,good
no checking,no credits/all paid,new car,1204,100<=X<500,1<=X<4,35,good
>=200,existing paid,furniture/equipment,1925,<100,1<=X<4,26,good
no checking,existing paid,radio/tv,433,<100,unemployed,22,bad
<0,critical/other existing credit,new car,666,>=1000,4<=X<7,39,good
>=200,existing paid,furniture/equipment,2251,<100,1<=X<4,46,good
0<=X<200,existing paid,new car,2150,<100,1<=X<4,24,bad
no checking,delayed previously,furniture/equipment,4151,100<=X<500,1<=X<4,35,good
0<=X<200,existing paid,furniture/equipment,2030,unknown,4<=X<7,24,good
0<=X<200,delayed previously,radio/tv,7418,unknown,1<=X<4,27,good
no checking,critical/other existing credit,radio/tv,2684,<100,1<=X<4,35,good
<0,no credits/all paid,radio/tv,2149,<100,1<=X<4,29,bad
no checking,existing paid,used car,3812,100<=X<500,<1,23,good
no checking,critical/other existing credit,radio/tv,1154,100<=X<500,unemployed,57,good
<0,existing paid,furniture/equipment,1657,<100,1<=X<4,27,good
<0,existing paid,radio/tv,1603,<100,>=7,55,good
<0,critical/other existing credit,new car,5302,<100,>=7,36,good
no checking,critical/other existing credit,education,2748,<100,>=7,57,good
no checking,critical/other existing credit,new car,1231,<100,>=7,32,good
0<=X<200,existing paid,radio/tv,802,<100,>=7,37,bad
no checking,critical/other existing credit,business,6304,unknown,>=7,36,good
no checking,existing paid,radio/tv,1533,<100,<1,38,good
<0,existing paid,new car,8978,<100,>=7,45,bad
no checking,existing paid,radio/tv,999,unknown,>=7,25,good
no checking,existing paid,new car,2662,unknown,4<=X<7,32,good
no checking,critical/other existing credit,furniture/equipment,1402,500<=X<1000,4<=X<7,37,good
0<=X<200,no credits/all paid,new car,12169,unknown,unemployed,36,good
0<=X<200,existing paid,radio/tv,3060,<100,4<=X<7,28,bad
<0,existing paid,repairs,11998,<100,<1,34,bad
no checking,existing paid,radio/tv,2697,<100,1<=X<4,32,good
no checking,critical/other existing credit,radio/tv,2404,<100,1<=X<4,26,good
<0,existing paid,furniture/equipment,1262,unknown,>=7,49,good
no checking,existing paid,furniture/equipment,4611,<100,<1,32,bad
no checking,existing paid,radio/tv,1901,100<=X<500,1<=X<4,29,good
no checking,critical/other existing credit,used car,3368,>=1000,>=7,23,good
no checking,existing paid,furniture/equipment,1574,<100,1<=X<4,50,good
>=200,no credits/all paid,radio/tv,1445,unknown,4<=X<7,49,good
no checking,critical/other existing credit,furniture/equipment,1520,unknown,>=7,63,good
0<=X<200,critical/other existing credit,new car,3878,100<=X<500,<1,37,good
<0,existing paid,new car,10722,<100,<1,35,good
<0,existing paid,used car,4788,<100,4<=X<7,26,good
0<=X<200,delayed previously,other,7582,100<=X<500,unemployed,31,good
0<=X<200,existing paid,radio/tv,1092,<100,1<=X<4,49,good
<0,delayed previously,radio/tv,1024,<100,<1,48,bad
no checking,existing paid,business,1076,<100,1<=X<4,26,good
0<=X<200,existing paid,used car,9398,<100,<1,28,bad
<0,critical/other existing credit,used car,6419,<100,>=7,44,good
>=200,critical/other existing credit,used car,4796,<100,>=7,56,good
no checking,critical/other existing credit,business,7629,unknown,>=7,46,good
0<=X<200,existing paid,furniture/equipment,9960,<100,<1,26,bad
no checking,existing paid,used car,4675,unknown,<1,20,good
no checking,existing paid,new car,1287,unknown,>=7,45,good
no checking,existing paid,furniture/equipment,2515,<100,1<=X<4,43,good
0<=X<200,critical/other existing credit,furniture/equipment,2745,>=1000,4<=X<7,32,good
no checking,existing paid,new car,672,<100,unemployed,54,good
0<=X<200,no credits/all paid,radio/tv,3804,<100,1<=X<4,42,bad
>=200,critical/other existing credit,new car,1344,unknown,4<=X<7,37,bad
<0,critical/other existing credit,new car,1038,<100,4<=X<7,49,good
no checking,critical/other existing credit,new car,10127,500<=X<1000,1<=X<4,44,bad
no checking,existing paid,furniture/equipment,1543,>=1000,1<=X<4,33,good
no checking,existing paid,used car,4811,unknown,4<=X<7,24,good
<0,existing paid,radio/tv,727,100<=X<500,<1,33,bad
0<=X<200,existing paid,furniture/equipment,1237,<100,1<=X<4,24,bad
0<=X<200,existing paid,new car,276,<100,1<=X<4,22,good
0<=X<200,existing paid,other,5381,unknown,unemployed,40,good
no checking,existing paid,furniture/equipment,5511,100<=X<500,1<=X<4,25,good
>=200,existing paid,furniture/equipment,3749,<100,<1,26,good
0<=X<200,existing paid,new car,685,<100,4<=X<7,25,bad
>=200,existing paid,new car,1494,unknown,<1,29,good
<0,no credits/all paid,furniture/equipment,2746,<100,>=7,31,bad
<0,existing paid,furniture/equipment,708,<100,1<=X<4,38,good
0<=X<200,existing paid,furniture/equipment,4351,unknown,1<=X<4,48,good
no checking,critical/other existing credit,education,701,<100,1<=X<4,32,good
<0,delayed previously,furniture/equipment,3643,<100,>=7,27,good
0<=X<200,critical/other existing credit,new car,4249,<100,unemployed,28,bad
<0,existing paid,radio/tv,1938,<100,<1,32,bad
<0,existing paid,used car,2910,<100,4<=X<7,34,good
<0,existing paid,furniture/equipment,2659,>=1000,1<=X<4,28,good
no checking,critical/other existing credit,new car,1028,<100,1<=X<4,36,good
<0,critical/other existing credit,new car,3398,<100,4<=X<7,39,good
no checking,critical/other existing credit,furniture/equipment,5801,unknown,>=7,49,good
no checking,existing paid,new car,1525,>=1000,4<=X<7,34,good
>=200,existing paid,radio/tv,4473,<100,>=7,31,good
0<=X<200,existing paid,radio/tv,1068,<100,>=7,28,good
<0,critical/other existing credit,used car,6615,<100,unemployed,75,good
no checking,critical/other existing credit,education,1864,100<=X<500,1<=X<4,30,bad
0<=X<200,existing paid,new car,7408,100<=X<500,<1,24,bad
no checking,critical/other existing credit,used car,11590,100<=X<500,1<=X<4,24,bad
<0,no credits/all paid,furniture/equipment,4110,<100,>=7,23,bad
<0,critical/other existing credit,furniture/equipment,3384,<100,1<=X<4,44,bad
0<=X<200,existing paid,radio/tv,2101,<100,<1,23,good
<0,existing paid,furniture/equipment,1275,unknown,1<=X<4,24,bad
<0,existing paid,furniture/equipment,4169,<100,1<=X<4,28,good
0<=X<200,existing paid,furniture/equipment,1521,<100,1<=X<4,31,good
0<=X<200,critical/other existing credit,education,5743,<100,<1,24,good
<0,existing paid,furniture/equipment,3599,<100,4<=X<7,26,good
0<=X<200,existing paid,radio/tv,3213,500<=X<1000,<1,25,good
0<=X<200,existing paid,business,4439,<100,>=7,33,good
>=200,existing paid,new car,3949,<100,<1,37,good
no checking,critical/other existing credit,radio/tv,1459,<100,1<=X<4,43,good
0<=X<200,critical/other existing credit,radio/tv,882,<100,<1,23,good
0<=X<200,existing paid,radio/tv,3758,500<=X<1000,unemployed,23,good
no checking,delayed previously,business,1743,100<=X<500,1<=X<4,34,good
0<=X<200,critical/other existing credit,education,1136,>=1000,>=7,32,bad
no checking,existing paid,furniture/equipment,1236,<100,<1,23,good
0<=X<200,existing paid,furniture/equipment,959,<100,1<=X<4,29,bad
no checking,critical/other existing credit,used car,3229,unknown,unemployed,38,good
<0,no credits/all paid,radio/tv,6199,<100,1<=X<4,28,bad
no checking,existing paid,education,727,500<=X<1000,>=7,46,good
0<=X<200,existing paid,new car,1246,<100,<1,23,bad
no checking,critical/other existing credit,radio/tv,2331,unknown,>=7,49,good
no checking,delayed previously,radio/tv,4463,<100,1<=X<4,26,bad
no checking,existing paid,radio/tv,776,<100,1<=X<4,28,good
<0,existing paid,furniture/equipment,2406,<100,4<=X<7,23,bad
0<=X<200,existing paid,education,1239,unknown,1<=X<4,61,good
>=200,existing paid,radio/tv,3399,unknown,>=7,37,good
>=200,delayed previously,new car,2247,<100,1<=X<4,36,good
no checking,existing paid,furniture/equipment,1766,<100,1<=X<4,21,good
<0,existing paid,furniture/equipment,2473,<100,unemployed,25,bad
no checking,existing paid,business,1542,<100,4<=X<7,36,good
no checking,critical/other existing credit,used car,3850,<100,4<=X<7,27,good
<0,existing paid,furniture/equipment,3650,<100,<1,22,good
<0,existing paid,furniture/equipment,3446,<100,>=7,42,bad
0<=X<200,existing paid,furniture/equipment,3001,<100,4<=X<7,40,good
no checking,existing paid,new car,3079,unknown,1<=X<4,36,good
no checking,critical/other existing credit,radio/tv,6070,<100,>=7,33,good
no checking,critical/other existing credit,furniture/equipment,2146,<100,<1,23,good
no checking,critical/other existing credit,new car,13756,unknown,>=7,63,good
0<=X<200,no credits/all paid,other,14782,100<=X<500,>=7,60,bad
<0,no credits/all paid,business,7685,<100,4<=X<7,37,bad
no checking,delayed previously,radio/tv,2320,<100,unemployed,34,good
no checking,delayed previously,radio/tv,846,unknown,>=7,36,good
0<=X<200,existing paid,new car,14318,<100,>=7,57,bad
no checking,critical/other existing credit,new car,362,100<=X<500,1<=X<4,52,good
<0,existing paid,furniture/equipment,2212,unknown,4<=X<7,39,good
0<=X<200,existing paid,used car,12976,<100,unemployed,38,bad
no checking,existing paid,new car,1283,unknown,4<=X<7,25,good
>=200,existing paid,new car,1330,<100,<1,26,good
no checking,delayed previously,business,4272,100<=X<500,1<=X<4,26,good
no checking,critical/other existing credit,radio/tv,2238,<100,1<=X<4,25,good
no checking,existing paid,radio/tv,1126,unknown,<1,21,good
0<=X<200,critical/other existing credit,furniture/equipment,7374,<100,unemployed,40,good
0<=X<200,critical/other existing credit,business,2326,500<=X<1000,1<=X<4,27,good
no checking,existing paid,business,1449,<100,4<=X<7,27,good
no checking,existing paid,new car,1820,<100,1<=X<4,30,good
0<=X<200,existing paid,furniture/equipment,983,>=1000,<1,19,good
<0,existing paid,new car,3249,<100,4<=X<7,39,good
<0,critical/other existing credit,radio/tv,1957,<100,4<=X<7,31,good
no checking,critical/other existing credit,furniture/equipment,2406,<100,unemployed,31,good
0<=X<200,delayed previously,education,11760,100<=X<500,4<=X<7,32,good
<0,existing paid,furniture/equipment,2578,<100,unemployed,55,good
<0,critical/other existing credit,furniture/equipment,2348,<100,1<=X<4,46,good
0<=X<200,existing paid,new car,1223,<100,>=7,46,bad
no checking,critical/other existing credit,radio/tv,1516,>=1000,1<=X<4,43,good
no checking,existing paid,radio/tv,1473,<100,<1,39,good
0<=X<200,critical/other existing credit,business,1887,unknown,1<=X<4,28,good
no checking,delayed previously,business,8648,<100,<1,27,bad
no checking,delayed previously,new car,802,<100,1<=X<4,27,good
0<=X<200,delayed previously,new car,2899,unknown,>=7,43,good
0<=X<200,existing paid,radio/tv,2039,<100,<1,22,bad
no checking,critical/other existing credit,used car,2197,unknown,4<=X<7,43,good
<0,existing paid,radio/tv,1053,<100,<1,27,good
no checking,existing paid,radio/tv,3235,500<=X<1000,>=7,26,good
>=200,critical/other existing credit,new car,939,500<=X<1000,4<=X<7,28,bad
0<=X<200,existing paid,radio/tv,1967,<100,>=7,20,good
no checking,critical/other existing credit,used car,7253,<100,4<=X<7,35,good
no checking,critical/other existing credit,business,2292,<100,unemployed,42,bad
no checking,existing paid,new car,1597,500<=X<1000,1<=X<4,40,good
<0,existing paid,new car,1381,unknown,1<=X<4,35,bad
no checking,critical/other existing credit,used car,5842,<100,>=7,35,good
<0,existing paid,new car,2579,<100,<1,33,bad
<0,delayed previously,education,8471,unknown,1<=X<4,23,good
no checking,existing paid,new car,2782,500<=X<1000,4<=X<7,31,good
0<=X<200,existing paid,new car,1042,unknown,1<=X<4,33,bad
no checking,existing paid,new car,3186,>=1000,4<=X<7,20,good
0<=X<200,existing paid,used car,2028,unknown,1<=X<4,30,good
0<=X<200,critical/other existing credit,new car,958,<100,4<=X<7,47,good
no checking,delayed previously,furniture/equipment,1591,100<=X<500,4<=X<7,34,good
0<=X<200,existing paid,furniture/equipment,2762,unknown,>=7,25,bad
0<=X<200,existing paid,used car,2779,<100,1<=X<4,21,good
no checking,critical/other existing credit,radio/tv,2743,<100,>=7,29,good
