Checking Status,Credit History,Credit Requested,Saving Status,Class
no checking,existing paid,1901,100<=X<500,good
no checking,critical/other existing credit,3368,>=1000,good
no checking,existing paid,1574,<100,good
>=200,no credits/all paid,1445,unknown,good
no checking,critical/other existing credit,1520,unknown,good
0<=X<200,critical/other existing credit,3878,100<=X<500,good
<0,existing paid,10722,<100,good
<0,existing paid,4788,<100,good
0<=X<200,delayed previously,7582,100<=X<500,good
0<=X<200,existing paid,1092,<100,good
<0,delayed previously,1024,<100,bad
no checking,existing paid,1076,<100,good
0<=X<200,existing paid,9398,<100,bad
<0,critical/other existing credit,6419,<100,good
>=200,critical/other existing credit,4796,<100,good
no checking,critical/other existing credit,7629,unknown,good
0<=X<200,existing paid,9960,<100,bad
no checking,existing paid,4675,unknown,good
no checking,existing paid,1287,unknown,good
no checking,existing paid,2515,<100,good
0<=X<200,critical/other existing credit,2745,>=1000,good
no checking,existing paid,672,<100,good
0<=X<200,no credits/all paid,3804,<100,bad
>=200,critical/other existing credit,1344,unknown,bad
<0,critical/other existing credit,1038,<100,good
no checking,critical/other existing credit,10127,500<=X<1000,bad
no checking,existing paid,1543,>=1000,good
no checking,existing paid,4811,unknown,good
<0,existing paid,727,100<=X<500,bad
0<=X<200,existing paid,1237,<100,bad
0<=X<200,existing paid,276,<100,good
0<=X<200,existing paid,5381,unknown,good
no checking,existing paid,5511,100<=X<500,good
>=200,existing paid,3749,<100,good
0<=X<200,existing paid,685,<100,bad
>=200,existing paid,1494,unknown,good
<0,no credits/all paid,2746,<100,bad
<0,existing paid,708,<100,good
0<=X<200,existing paid,4351,unknown,good
no checking,critical/other existing credit,701,<100,good
<0,delayed previously,3643,<100,good
0<=X<200,critical/other existing credit,4249,<100,bad
<0,existing paid,1938,<100,bad
<0,existing paid,2910,<100,good
<0,existing paid,2659,>=1000,good
no checking,critical/other existing credit,1028,<100,good
<0,critical/other existing credit,3398,<100,good
no checking,critical/other existing credit,5801,unknown,good
no checking,existing paid,1525,>=1000,good
>=200,existing paid,4473,<100,good
0<=X<200,existing paid,1068,<100,good
<0,critical/other existing credit,6615,<100,good
no checking,critical/other existing credit,1864,100<=X<500,bad
0<=X<200,existing paid,7408,100<=X<500,bad
no checking,critical/other existing credit,11590,100<=X<500,bad
<0,no credits/all paid,4110,<100,bad
<0,critical/other existing credit,3384,<100,bad
0<=X<200,existing paid,2101,<100,good
<0,existing paid,1275,unknown,bad
<0,existing paid,4169,<100,good
0<=X<200,existing paid,1521,<100,good
0<=X<200,critical/other existing credit,5743,<100,good
<0,existing paid,3599,<100,good
0<=X<200,existing paid,3213,500<=X<1000,good
0<=X<200,existing paid,4439,<100,good
>=200,existing paid,3949,<100,good
no checking,critical/other existing credit,1459,<100,good
0<=X<200,critical/other existing credit,882,<100,good
0<=X<200,existing paid,3758,500<=X<1000,good
no checking,delayed previously,1743,100<=X<500,good
0<=X<200,critical/other existing credit,1136,>=1000,bad
no checking,existing paid,1236,<100,good
0<=X<200,existing paid,959,<100,bad
no checking,critical/other existing credit,3229,unknown,good
<0,no credits/all paid,6199,<100,bad
no checking,existing paid,727,500<=X<1000,good
0<=X<200,existing paid,1246,<100,bad
no checking,critical/other existing credit,2331,unknown,good
no checking,delayed previously,4463,<100,bad
no checking,existing paid,776,<100,good
<0,existing paid,2406,<100,bad
0<=X<200,existing paid,1239,unknown,good
>=200,existing paid,3399,unknown,good
>=200,delayed previously,2247,<100,good
no checking,existing paid,1766,<100,good
<0,existing paid,2473,<100,bad
no checking,existing paid,1542,<100,good
no checking,critical/other existing credit,3850,<100,good
<0,existing paid,3650,<100,good
<0,existing paid,3446,<100,bad
0<=X<200,existing paid,3001,<100,good
no checking,existing paid,3079,unknown,good
no checking,critical/other existing credit,6070,<100,good
no checking,critical/other existing credit,2146,<100,good
no checking,critical/other existing credit,13756,unknown,good
0<=X<200,no credits/all paid,14782,100<=X<500,bad
<0,no credits/all paid,7685,<100,bad
no checking,delayed previously,2320,<100,good
no checking,delayed previously,846,unknown,good
0<=X<200,existing paid,14318,<100,bad
no checking,critical/other existing credit,362,100<=X<500,good
<0,existing paid,2212,unknown,good
0<=X<200,existing paid,12976,<100,bad
no checking,existing paid,1283,unknown,good
>=200,existing paid,1330,<100,good
no checking,delayed previously,4272,100<=X<500,good
no checking,critical/other existing credit,2238,<100,good
no checking,existing paid,1126,unknown,good
0<=X<200,critical/other existing credit,7374,<100,good
0<=X<200,critical/other existing credit,2326,500<=X<1000,good
no checking,existing paid,1449,<100,good
no checking,existing paid,1820,<100,good
0<=X<200,existing paid,983,>=1000,good
<0,existing paid,3249,<100,good
<0,critical/other existing credit,1957,<100,good
no checking,critical/other existing credit,2406,<100,good
0<=X<200,delayed previously,11760,100<=X<500,good
<0,existing paid,2578,<100,good
<0,critical/other existing credit,2348,<100,good
0<=X<200,existing paid,1223,<100,bad
no checking,critical/other existing credit,1516,>=1000,good
no checking,existing paid,1473,<100,good
0<=X<200,critical/other existing credit,1887,unknown,good
no checking,delayed previously,8648,<100,bad
no checking,delayed previously,802,<100,good
0<=X<200,delayed previously,2899,unknown,good
0<=X<200,existing paid,2039,<100,bad
no checking,critical/other existing credit,2197,unknown,good
<0,existing paid,1053,<100,good
no checking,existing paid,3235,500<=X<1000,good
>=200,critical/other existing credit,939,500<=X<1000,bad
0<=X<200,existing paid,1967,<100,good
no checking,critical/other existing credit,7253,<100,good
no checking,critical/other existing credit,2292,<100,bad
no checking,existing paid,1597,500<=X<1000,good
<0,existing paid,1381,unknown,bad
no checking,critical/other existing credit,5842,<100,good
<0,existing paid,2579,<100,bad
<0,delayed previously,8471,unknown,good
no checking,existing paid,2782,500<=X<1000,good
0<=X<200,existing paid,1042,unknown,bad
no checking,existing paid,3186,>=1000,good
0<=X<200,existing paid,2028,unknown,good
0<=X<200,critical/other existing credit,958,<100,good
no checking,delayed previously,1591,100<=X<500,good
0<=X<200,existing paid,2762,unknown,bad
0<=X<200,existing paid,2779,<100,good
no checking,critical/other existing credit,2743,<100,good
no checking,critical/other existing credit,1149,>=1000,good
no checking,existing paid,1313,<100,good
<0,critical/other existing credit,1190,<100,bad
no checking,existing paid,3448,<100,good
0<=X<200,existing paid,13280,<100,bad
<0,critical/other existing credit,1872,<100,good
no checking,critical/other existing credit,2058,<100,good
<0,existing paid,2136,<100,good
0<=X<200,existing paid,1484,unknown,bad
no checking,existing paid,660,500<=X<1000,good
no checking,critical/other existing credit,1287,>=1000,good
<0,critical/other existing credit,3394,<100,good
>=200,no credits/all paid,609,<100,bad
no checking,existing paid,1884,<100,good
<0,existing paid,1620,<100,good
0<=X<200,delayed previously,2629,<100,good
no checking,existing paid,7190,<100,bad
0<=X<200,critical/other existing credit,5096,<100,bad
no checking,critical/other existing credit,1244,unknown,good
<0,existing paid,1842,<100,bad
0<=X<200,existing paid,2576,<100,good
>=200,existing paid,1424,unknown,good
0<=X<200,delayed previously,1512,>=1000,bad
no checking,critical/other existing credit,11054,unknown,good
no checking,existing paid,5180,<100,good
no checking,no credits/all paid,2759,<100,good
no checking,existing paid,2670,<100,good
<0,existing paid,4817,<100,bad
no checking,existing paid,2679,<100,good
<0,critical/other existing credit,3905,<100,good
<0,existing paid,3386,<100,bad
<0,existing paid,343,<100,good
no checking,existing paid,4594,<100,good
<0,existing paid,3620,<100,good
<0,existing paid,1721,<100,good
0<=X<200,existing paid,3017,<100,good
0<=X<200,existing paid,754,unknown,good
no checking,existing paid,1950,<100,good
<0,existing paid,2924,<100,good
<0,delayed previously,1659,<100,bad
no checking,delayed previously,7238,unknown,good
no checking,delayed previously,2764,<100,good
no checking,delayed previously,4679,<100,good
0<=X<200,existing paid,3092,100<=X<500,bad
<0,existing paid,448,<100,bad
<0,existing paid,654,<100,bad
no checking,existing paid,1238,unknown,good
0<=X<200,critical/other existing credit,1245,<100,bad
<0,no credits/all paid,3114,<100,bad
no checking,existing paid,2569,500<=X<1000,good
>=200,existing paid,5152,<100,good
0<=X<200,existing paid,1037,100<=X<500,good
<0,critical/other existing credit,1478,<100,good
0<=X<200,critical/other existing credit,3573,<100,good
0<=X<200,existing paid,1201,<100,good
<0,existing paid,3622,>=1000,good
no checking,delayed previously,960,>=1000,good
no checking,critical/other existing credit,1163,500<=X<1000,good
0<=X<200,delayed previously,1209,<100,bad
no checking,existing paid,3077,<100,good
no checking,existing paid,3757,<100,good
no checking,existing paid,1418,100<=X<500,good
no checking,existing paid,3518,<100,good
no checking,critical/other existing credit,1934,<100,good
0<=X<200,no credits/all paid,8318,<100,bad
no checking,critical/other existing credit,1237,100<=X<500,good
0<=X<200,existing paid,368,unknown,good
<0,critical/other existing credit,2122,<100,good
<0,existing paid,2996,unknown,bad
0<=X<200,existing paid,9034,100<=X<500,bad
no checking,critical/other existing credit,1585,<100,good
0<=X<200,existing paid,1301,<100,good
>=200,critical/other existing credit,1323,100<=X<500,good
<0,existing paid,3123,<100,bad
<0,existing paid,5493,<100,good
>=200,existing paid,1126,100<=X<500,good
0<=X<200,critical/other existing credit,1216,100<=X<500,bad
<0,existing paid,1207,<100,bad
no checking,existing paid,1309,unknown,bad
>=200,critical/other existing credit,2360,500<=X<1000,good
0<=X<200,no credits/all paid,6850,100<=X<500,bad
no checking,existing paid,1413,<100,good
no checking,existing paid,8588,100<=X<500,good
<0,existing paid,759,<100,bad
no checking,existing paid,4686,<100,good
>=200,existing paid,2687,<100,good
0<=X<200,delayed previously,5850,<100,good
no checking,existing paid,2255,unknown,good
<0,critical/other existing credit,609,<100,good
<0,critical/other existing credit,1361,<100,good
no checking,critical/other existing credit,7127,<100,bad
<0,existing paid,1203,100<=X<500,good
no checking,critical/other existing credit,700,unknown,good
no checking,critical/other existing credit,5507,<100,good
<0,existing paid,3190,<100,bad
<0,no credits/all paid,7119,<100,bad
no checking,existing paid,3488,100<=X<500,good
0<=X<200,existing paid,1113,<100,good
0<=X<200,existing paid,7966,<100,good
no checking,critical/other existing credit,1532,100<=X<500,good
no checking,critical/other existing credit,1503,<100,good
<0,existing paid,2302,<100,bad
<0,existing paid,662,<100,good
0<=X<200,existing paid,2273,<100,good
0<=X<200,existing paid,2631,100<=X<500,bad
no checking,delayed previously,1503,<100,good
no checking,existing paid,1311,100<=X<500,good
no checking,existing paid,3105,unknown,good
>=200,critical/other existing credit,2319,<100,bad
<0,existing paid,1374,unknown,good
0<=X<200,critical/other existing credit,3612,<100,good
<0,existing paid,7763,<100,bad
>=200,existing paid,3049,<100,good
0<=X<200,existing paid,1534,<100,bad
no checking,delayed previously,2032,<100,good
<0,existing paid,6350,unknown,bad
>=200,existing paid,2864,<100,bad
no checking,critical/other existing credit,1255,<100,good
<0,delayed previously,1333,<100,bad
no checking,critical/other existing credit,2022,<100,good
no checking,existing paid,1552,<100,good
<0,no credits/all paid,626,<100,bad
no checking,critical/other existing credit,8858,unknown,good
no checking,critical/other existing credit,996,unknown,good
no checking,no credits/all paid,1750,500<=X<1000,good
<0,existing paid,6999,<100,bad
0<=X<200,critical/other existing credit,1995,100<=X<500,good
0<=X<200,existing paid,1199,<100,good
0<=X<200,existing paid,1331,<100,bad
0<=X<200,no credits/all paid,2278,100<=X<500,bad
no checking,no credits/all paid,5003,unknown,bad
<0,no credits/all paid,3552,<100,bad
0<=X<200,critical/other existing credit,19280,<100,bad
<0,existing paid,2964,unknown,good
<0,no credits/all paid,1546,<100,bad
>=200,delayed previously,683,<100,good
0<=X<200,existing paid,12389,unknown,bad
0<=X<200,delayed previously,4712,unknown,good
0<=X<200,delayed previously,1553,100<=X<500,good
<0,existing paid,1372,<100,bad
no checking,critical/other existing credit,2578,>=1000,good
0<=X<200,existing paid,3979,unknown,good
<0,existing paid,6758,<100,bad
<0,existing paid,3234,<100,bad
no checking,critical/other existing credit,5954,<100,good
no checking,existing paid,5433,unknown,good
<0,existing paid,806,<100,good
0<=X<200,existing paid,1082,<100,good
no checking,critical/other existing credit,2788,<100,good
0<=X<200,existing paid,2930,<100,good
no checking,critical/other existing credit,1927,unknown,good
0<=X<200,critical/other existing credit,2820,<100,bad
no checking,existing paid,937,<100,good
0<=X<200,critical/other existing credit,1056,<100,bad
0<=X<200,critical/other existing credit,3124,<100,good
no checking,existing paid,1388,<100,good
0<=X<200,existing paid,2384,<100,bad
no checking,existing paid,2133,unknown,good
<0,existing paid,2039,<100,bad
<0,critical/other existing credit,2799,<100,good
<0,existing paid,1289,<100,good
<0,existing paid,1217,<100,bad
<0,critical/other existing credit,2246,<100,bad
<0,critical/other existing credit,385,<100,good
0<=X<200,delayed previously,1965,unknown,good
no checking,existing paid,1572,>=1000,good
0<=X<200,existing paid,2718,<100,bad
<0,no credits/all paid,13580,unknown,bad
0<=X<200,no credits/all paid,931,100<=X<500,bad
<0,existing paid,1442,<100,bad
0<=X<200,no credits/all paid,4241,<100,bad
no checking,critical/other existing credit,2775,<100,bad
no checking,delayed previously,3863,<100,good
0<=X<200,existing paid,2329,<100,good
0<=X<200,existing paid,918,<100,bad
0<=X<200,no credits/all paid,1837,<100,bad
no checking,existing paid,3349,<100,bad
>=200,existing paid,1275,<100,good
<0,no credits/all paid,2828,500<=X<1000,good
no checking,critical/other existing credit,4526,<100,good
0<=X<200,existing paid,2671,100<=X<500,bad
no checking,existing paid,2051,<100,good
no checking,existing paid,1300,unknown,good
<0,existing paid,741,100<=X<500,bad
>=200,existing paid,1240,100<=X<500,bad
<0,existing paid,3357,>=1000,good
<0,no credits/all paid,3632,<100,good
no checking,delayed previously,1808,<100,bad
0<=X<200,no credits/all paid,12204,unknown,good
0<=X<200,delayed previously,9157,unknown,good
<0,critical/other existing credit,3676,<100,good
0<=X<200,existing paid,3441,100<=X<500,bad
no checking,existing paid,640,<100,good
0<=X<200,critical/other existing credit,3652,<100,good
no checking,critical/other existing credit,1530,<100,bad
no checking,existing paid,3914,unknown,bad
<0,existing paid,1858,<100,good
<0,existing paid,2600,<100,bad
no checking,existing paid,1979,unknown,good
>=200,existing paid,2116,<100,good
0<=X<200,no credits/all paid,1437,100<=X<500,bad
no checking,critical/other existing credit,4042,500<=X<1000,good
no checking,existing paid,3832,unknown,good
<0,existing paid,3660,<100,good
<0,no credits/all paid,1553,<100,bad
0<=X<200,existing paid,1444,unknown,good
no checking,existing paid,1980,<100,bad
0<=X<200,existing paid,1355,<100,bad
no checking,existing paid,1393,<100,good
no checking,existing paid,1376,500<=X<1000,good
no checking,delayed previously,15653,<100,good
no checking,existing paid,1493,<100,good
<0,delayed previously,4370,<100,bad
<0,existing paid,750,<100,bad
0<=X<200,existing paid,1308,<100,good
no checking,existing paid,4623,100<=X<500,bad
no checking,critical/other existing credit,1851,<100,good
<0,critical/other existing credit,1880,<100,good
no checking,delayed previously,7980,unknown,bad
<0,no credits/all paid,4583,<100,good
no checking,existing paid,13860,500<=X<1000,bad
>=200,existing paid,947,<100,bad
<0,existing paid,684,<100,bad
<0,existing paid,7476,<100,good
0<=X<200,existing paid,1922,<100,bad
<0,existing paid,2303,<100,bad
0<=X<200,delayed previously,8086,100<=X<500,bad
no checking,critical/other existing credit,2346,<100,good
<0,existing paid,3973,<100,good
0<=X<200,existing paid,888,<100,bad
no checking,existing paid,10222,unknown,good
0<=X<200,no credits/all paid,4221,<100,good
0<=X<200,critical/other existing credit,6361,<100,good
>=200,existing paid,1297,<100,good
<0,existing paid,900,unknown,bad
no checking,existing paid,2241,<100,good
0<=X<200,delayed previously,1050,<100,good
>=200,critical/other existing credit,1047,<100,good
no checking,critical/other existing credit,6314,<100,good
0<=X<200,no credits/all paid,3496,>=1000,good
no checking,no credits/all paid,3609,<100,good
<0,critical/other existing credit,4843,<100,bad
>=200,critical/other existing credit,3017,<100,good
no checking,critical/other existing credit,4139,100<=X<500,good
no checking,existing paid,5742,100<=X<500,good
no checking,existing paid,10366,<100,good
no checking,critical/other existing credit,2080,500<=X<1000,good
no checking,delayed previously,2580,500<=X<1000,bad
no checking,critical/other existing credit,4530,<100,good
no checking,critical/other existing credit,5150,<100,good
0<=X<200,existing paid,5595,100<=X<500,bad
<0,existing paid,2384,<100,good
no checking,existing paid,1453,<100,good
no checking,existing paid,1538,<100,good
no checking,existing paid,2279,unknown,good
no checking,delayed previously,1478,<100,good
no checking,critical/other existing credit,5103,<100,good
0<=X<200,delayed previously,9857,100<=X<500,good
no checking,existing paid,6527,unknown,good
>=200,critical/other existing credit,1347,unknown,good
0<=X<200,delayed previously,2862,100<=X<500,good
