Checking Status,Credit History,Purpose,Saving Status,Employment,Personal Status,Job,Age and Credit,Class
0<=X<200,delayed previously,used car,unknown,4<=X<7,male single,high qualif/self emp/mgmt,2540.52,good
no checking,existing paid,new car,100<=X<500,>=7,male mar/wid/div/sep,unskilled resident,602.29,good
0<=X<200,existing paid,radio/tv,<100,4<=X<7,male single,skilled,557.52,good
no checking,delayed previously,radio/tv,<100,1<=X<4,female div/sep/mar,skilled,223.68,good
0<=X<200,critical/other existing credit,furniture/equipment,<100,4<=X<7,male single,skilled,671.65,good
no checking,existing paid,used car,unknown,<1,male mar/wid/div/sep,skilled,635.7,good
0<=X<200,critical/other existing credit,other,<100,1<=X<4,male single,high qualif/self emp/mgmt,4655.82,bad
no checking,no credits/all paid,new car,<100,>=7,male single,high qualif/self emp/mgmt,2518.62,bad
0<=X<200,existing paid,new car,<100,4<=X<7,male single,skilled,1944.96,good
<0,existing paid,furniture/equipment,unknown,<1,female div/sep/mar,skilled,2316.3,good
0<=X<200,existing paid,business,500<=X<1000,>=7,male mar/wid/div/sep,skilled,493.5,good
0<=X<200,delayed previously,business,100<=X<500,>=7,male mar/wid/div/sep,skilled,449.19,good
>=200,existing paid,education,<100,<1,female div/sep/mar,skilled,90.16,good
0<=X<200,existing paid,new car,<100,4<=X<7,male single,unskilled resident,1752.8,good
no checking,critical/other existing credit,new car,<100,1<=X<4,female div/sep/mar,skilled,1963.75,bad
<0,existing paid,radio/tv,500<=X<1000,>=7,male mar/wid/div/sep,skilled,588,good
no checking,critical/other existing credit,radio/tv,unknown,>=7,male single,skilled,1681.66,good
<0,existing paid,radio/tv,unknown,4<=X<7,female div/sep/mar,high qualif/self emp/mgmt,2152.2,bad
<0,critical/other existing credit,furniture/equipment,unknown,<1,female div/sep/mar,skilled,575.64,good
<0,critical/other existing credit,furniture/equipment,500<=X<1000,1<=X<4,female div/sep/mar,skilled,984.63,bad
0<=X<200,critical/other existing credit,new car,500<=X<1000,4<=X<7,male mar/wid/div/sep,high qualif/self emp/mgmt,851.76,good
<0,existing paid,radio/tv,<100,1<=X<4,female div/sep/mar,skilled,458.75,bad
no checking,critical/other existing credit,used car,<100,>=7,female div/sep/mar,high qualif/self emp/mgmt,1585.88,good
no checking,existing paid,furniture/equipment,<100,1<=X<4,male single,unskilled resident,424.32,good
>=200,critical/other existing credit,new car,<100,>=7,male single,skilled,492.03,good
0<=X<200,existing paid,furniture/equipment,unknown,<1,female div/sep/mar,skilled,519.48,bad
<0,critical/other existing credit,new car,<100,1<=X<4,male single,skilled,636.3,good
<0,existing paid,radio/tv,<100,1<=X<4,male mar/wid/div/sep,unskilled resident,280.4,good
0<=X<200,existing paid,repairs,<100,1<=X<4,male single,skilled,191.7,bad
0<=X<200,critical/other existing credit,used car,<100,unemployed,male single,high qualif/self emp/mgmt,632.4,good
<0,critical/other existing credit,new car,<100,1<=X<4,female div/sep/mar,skilled,1014.71,bad
0<=X<200,existing paid,new car,unknown,4<=X<7,female div/sep/mar,skilled,2036.88,good
<0,delayed previously,education,<100,1<=X<4,male single,skilled,1997.23,bad
no checking,existing paid,furniture/equipment,<100,<1,male single,unskilled resident,731.16,good
no checking,existing paid,furniture/equipment,<100,1<=X<4,male single,skilled,932.48,good
no checking,existing paid,radio/tv,100<=X<500,4<=X<7,female div/sep/mar,skilled,2130.24,good
no checking,critical/other existing credit,radio/tv,unknown,>=7,female div/sep/mar,skilled,471.2,good
no checking,delayed previously,used car,>=1000,1<=X<4,male single,skilled,2325.51,good
0<=X<200,existing paid,radio/tv,500<=X<1000,1<=X<4,male single,unskilled resident,505.56,bad
0<=X<200,critical/other existing credit,radio/tv,unknown,4<=X<7,male single,skilled,954.8,good
>=200,existing paid,radio/tv,<100,1<=X<4,female div/sep/mar,unskilled resident,827.64,good
>=200,existing paid,new car,>=1000,<1,male mar/wid/div/sep,unemp/unskilled non res,191.43,good
0<=X<200,existing paid,radio/tv,<100,<1,female div/sep/mar,high qualif/self emp/mgmt,1438.5,good
<0,existing paid,radio/tv,<100,1<=X<4,male single,high qualif/self emp/mgmt,922.32,good
<0,existing paid,furniture/equipment,<100,1<=X<4,male single,skilled,541.64,bad
no checking,critical/other existing credit,furniture/equipment,<100,<1,female div/sep/mar,skilled,526.24,good
0<=X<200,no credits/all paid,business,100<=X<500,4<=X<7,male single,skilled,1069.8,good
<0,critical/other existing credit,new car,<100,>=7,female div/sep/mar,skilled,335.4,good
no checking,critical/other existing credit,new car,100<=X<500,4<=X<7,female div/sep/mar,skilled,347.82,good
<0,critical/other existing credit,furniture/equipment,<100,1<=X<4,male single,skilled,1503.88,good
no checking,critical/other existing credit,radio/tv,>=1000,>=7,male single,skilled,727.72,good
no checking,existing paid,radio/tv,100<=X<500,>=7,male single,skilled,565.32,good
no checking,existing paid,radio/tv,<100,1<=X<4,male single,skilled,731.12,good
>=200,existing paid,radio/tv,<100,1<=X<4,male single,skilled,1403.52,good
0<=X<200,critical/other existing credit,used car,>=1000,>=7,female div/sep/mar,skilled,2249.82,good
0<=X<200,delayed previously,business,100<=X<500,4<=X<7,male single,high qualif/self emp/mgmt,2508.12,good
<0,existing paid,furniture/equipment,<100,1<=X<4,female div/sep/mar,skilled,256.4,bad
<0,critical/other existing credit,repairs,100<=X<500,>=7,male single,skilled,618.24,good
<0,no credits/all paid,retraining,<100,>=7,male mar/wid/div/sep,unskilled resident,152.55,good
0<=X<200,existing paid,new car,100<=X<500,4<=X<7,male single,skilled,1334.56,good
no checking,critical/other existing credit,radio/tv,unknown,1<=X<4,male single,unskilled resident,645.32,good
no checking,critical/other existing credit,radio/tv,100<=X<500,>=7,male single,skilled,1033.92,good
no checking,critical/other existing credit,new car,<100,<1,female div/sep/mar,skilled,316.5,good
no checking,existing paid,furniture/equipment,500<=X<1000,4<=X<7,male single,skilled,454.32,good
0<=X<200,existing paid,new car,<100,unemployed,male single,high qualif/self emp/mgmt,5115.6,good
no checking,existing paid,new car,500<=X<1000,>=7,male single,skilled,327.24,good
no checking,existing paid,furniture/equipment,500<=X<1000,1<=X<4,male single,skilled,952.96,good
<0,existing paid,furniture/equipment,<100,unemployed,female div/sep/mar,skilled,373.23,bad
0<=X<200,existing paid,furniture/equipment,>=1000,<1,female div/sep/mar,skilled,315.4,good
no checking,existing paid,furniture/equipment,<100,4<=X<7,female div/sep/mar,skilled,993,good
0<=X<200,critical/other existing credit,business,<100,>=7,male mar/wid/div/sep,skilled,599.85,bad
<0,no credits/all paid,new car,<100,>=7,male single,skilled,313.5,bad
no checking,existing paid,furniture/equipment,<100,1<=X<4,female div/sep/mar,skilled,198.38,good
0<=X<200,delayed previously,furniture/equipment,<100,unemployed,female div/sep/mar,high qualif/self emp/mgmt,701.76,bad
0<=X<200,existing paid,radio/tv,<100,1<=X<4,male single,skilled,466.62,good
<0,delayed previously,education,<100,<1,male single,skilled,887.64,bad
no checking,no credits/all paid,used car,unknown,unemployed,female div/sep/mar,high qualif/self emp/mgmt,3967.05,bad
<0,existing paid,furniture/equipment,<100,1<=X<4,male mar/wid/div/sep,skilled,1082.34,good
<0,critical/other existing credit,radio/tv,500<=X<1000,>=7,male single,skilled,175.76,good
no checking,existing paid,radio/tv,<100,4<=X<7,male single,high qualif/self emp/mgmt,608.53,good
<0,critical/other existing credit,new car,<100,>=7,male single,skilled,371.15,good
no checking,delayed previously,business,<100,<1,male mar/wid/div/sep,skilled,2680.16,bad
0<=X<200,delayed previously,business,<100,1<=X<4,male mar/wid/div/sep,high qualif/self emp/mgmt,1336.5,bad
<0,no credits/all paid,new car,unknown,1<=X<4,male single,unskilled resident,658.8,bad
no checking,critical/other existing credit,furniture/equipment,>=1000,1<=X<4,male single,skilled,1888.5,good
0<=X<200,critical/other existing credit,new car,<100,>=7,male single,skilled,318.24,bad
no checking,critical/other existing credit,radio/tv,<100,1<=X<4,male single,skilled,421.6,good
0<=X<200,no credits/all paid,used car,<100,>=7,female div/sep/mar,high qualif/self emp/mgmt,3795.46,bad
0<=X<200,critical/other existing credit,new car,<100,unemployed,male single,unemp/unskilled non res,799,good
<0,existing paid,radio/tv,100<=X<500,4<=X<7,male mar/wid/div/sep,skilled,134.8,bad
0<=X<200,no credits/all paid,furniture/equipment,<100,1<=X<4,female div/sep/mar,skilled,1070.52,good
no checking,existing paid,business,>=1000,1<=X<4,male single,high qualif/self emp/mgmt,2479.14,bad
0<=X<200,no credits/all paid,business,100<=X<500,4<=X<7,male single,unskilled resident,1306.96,bad
0<=X<200,existing paid,business,<100,1<=X<4,male single,skilled,1409.4,bad
no checking,existing paid,radio/tv,<100,4<=X<7,male mar/wid/div/sep,skilled,611.32,good
0<=X<200,existing paid,radio/tv,100<=X<500,1<=X<4,male single,skilled,636.51,bad
0<=X<200,critical/other existing credit,education,<100,>=7,female div/sep/mar,high qualif/self emp/mgmt,510.34,bad
no checking,critical/other existing credit,radio/tv,<100,1<=X<4,female div/sep/mar,skilled,386.96,good
0<=X<200,existing paid,furniture/equipment,100<=X<500,<1,female div/sep/mar,skilled,256.77,bad
0<=X<200,existing paid,used car,unknown,>=7,male single,skilled,993.6,good
0<=X<200,delayed previously,furniture/equipment,<100,>=7,male mar/wid/div/sep,high qualif/self emp/mgmt,1718.8,bad
no checking,critical/other existing credit,education,500<=X<1000,>=7,male single,skilled,486.72,good
<0,existing paid,new car,<100,1<=X<4,male mar/wid/div/sep,unskilled resident,315.36,good
no checking,delayed previously,business,<100,4<=X<7,male single,skilled,1330.42,good
<0,existing paid,retraining,<100,4<=X<7,male mar/wid/div/sep,skilled,189.42,bad
no checking,critical/other existing credit,new car,<100,>=7,male single,unskilled resident,568.1,good
<0,critical/other existing credit,used car,<100,>=7,male single,high qualif/self emp/mgmt,4036.74,good
no checking,critical/other existing credit,furniture/equipment,<100,>=7,male single,skilled,832.05,good
0<=X<200,critical/other existing credit,furniture/equipment,<100,4<=X<7,male single,skilled,370.24,good
<0,existing paid,business,<100,1<=X<4,male mar/wid/div/sep,unskilled resident,1379.28,good
no checking,existing paid,used car,>=1000,4<=X<7,male single,skilled,777.15,good
no checking,critical/other existing credit,radio/tv,unknown,1<=X<4,male single,skilled,1014.42,good
no checking,existing paid,radio/tv,unknown,>=7,female div/sep/mar,unskilled resident,1725.75,good
<0,no credits/all paid,business,<100,unemployed,male single,skilled,2646.5,bad
>=200,delayed previously,business,<100,>=7,male single,high qualif/self emp/mgmt,1259.28,bad
no checking,critical/other existing credit,radio/tv,unknown,>=7,male single,skilled,1704.42,good
0<=X<200,critical/other existing credit,retraining,unknown,4<=X<7,female div/sep/mar,unskilled resident,363.48,good
<0,no credits/all paid,business,<100,4<=X<7,male single,skilled,962.24,good
>=200,existing paid,radio/tv,<100,1<=X<4,male single,skilled,899.99,good
<0,existing paid,furniture/equipment,<100,1<=X<4,male mar/wid/div/sep,unskilled resident,725.04,good
no checking,existing paid,new car,<100,1<=X<4,female div/sep/mar,skilled,872.96,good
0<=X<200,existing paid,radio/tv,<100,<1,male mar/wid/div/sep,unskilled resident,162.5,good
<0,existing paid,education,unknown,1<=X<4,female div/sep/mar,skilled,276,good
no checking,existing paid,radio/tv,<100,1<=X<4,male single,skilled,212.1,good
no checking,delayed previously,business,unknown,1<=X<4,male single,skilled,952.96,good
no checking,existing paid,used car,<100,1<=X<4,male single,skilled,1397.1,good
no checking,no credits/all paid,repairs,<100,1<=X<4,male single,skilled,705.51,good
0<=X<200,existing paid,radio/tv,>=1000,4<=X<7,male single,skilled,2959.47,bad
<0,existing paid,furniture/equipment,<100,>=7,male single,high qualif/self emp/mgmt,4168.45,bad
no checking,existing paid,radio/tv,<100,4<=X<7,male single,skilled,325.16,bad
<0,existing paid,furniture/equipment,<100,<1,male single,skilled,692.78,good
>=200,existing paid,radio/tv,<100,1<=X<4,male single,skilled,1094.6,bad
no checking,existing paid,new car,500<=X<1000,>=7,male single,unskilled resident,1278.57,good
no checking,existing paid,radio/tv,100<=X<500,4<=X<7,male single,skilled,749.35,good
0<=X<200,existing paid,radio/tv,<100,1<=X<4,male mar/wid/div/sep,unskilled resident,216.5,good
no checking,critical/other existing credit,radio/tv,<100,4<=X<7,male single,unskilled resident,648.48,good
<0,existing paid,radio/tv,<100,unemployed,male single,high qualif/self emp/mgmt,546.9,bad
0<=X<200,existing paid,new car,unknown,unemployed,male single,unemp/unskilled non res,3347.65,bad
0<=X<200,existing paid,business,100<=X<500,>=7,male mar/wid/div/sep,unskilled resident,1687.87,bad
no checking,critical/other existing credit,radio/tv,<100,1<=X<4,female div/sep/mar,skilled,451.85,good
<0,existing paid,radio/tv,<100,>=7,male single,skilled,983.58,good
<0,existing paid,new car,unknown,>=7,female div/sep/mar,skilled,265.35,bad
no checking,existing paid,radio/tv,<100,4<=X<7,male single,skilled,813.45,good
<0,no credits/all paid,used car,<100,>=7,male single,skilled,1105.2,bad
no checking,critical/other existing credit,business,<100,1<=X<4,female div/sep/mar,skilled,319.95,good
no checking,no credits/all paid,retraining,500<=X<1000,1<=X<4,female div/sep/mar,unskilled resident,1206.45,good
no checking,existing paid,business,<100,4<=X<7,male single,skilled,314.5,good
no checking,critical/other existing credit,radio/tv,<100,>=7,male single,skilled,372.84,good
no checking,no credits/all paid,new car,100<=X<500,1<=X<4,male single,skilled,421.4,good
>=200,existing paid,furniture/equipment,<100,1<=X<4,male single,skilled,500.5,good
no checking,existing paid,radio/tv,<100,unemployed,female div/sep/mar,skilled,95.26,bad
<0,critical/other existing credit,new car,>=1000,4<=X<7,female div/sep/mar,unskilled resident,259.74,good
>=200,existing paid,furniture/equipment,<100,1<=X<4,female div/sep/mar,unskilled resident,1035.46,good
0<=X<200,existing paid,new car,<100,1<=X<4,female div/sep/mar,skilled,516,bad
no checking,delayed previously,furniture/equipment,100<=X<500,1<=X<4,male single,skilled,1452.85,good
0<=X<200,existing paid,furniture/equipment,unknown,4<=X<7,male single,skilled,487.2,good
0<=X<200,delayed previously,radio/tv,unknown,1<=X<4,male single,unskilled resident,2002.86,good
no checking,critical/other existing credit,radio/tv,<100,1<=X<4,male single,unskilled resident,939.4,good
<0,no credits/all paid,radio/tv,<100,1<=X<4,male mar/wid/div/sep,skilled,623.21,bad
no checking,existing paid,used car,100<=X<500,<1,female div/sep/mar,skilled,876.76,good
no checking,critical/other existing credit,radio/tv,100<=X<500,unemployed,female div/sep/mar,unskilled resident,657.78,good
<0,existing paid,furniture/equipment,<100,1<=X<4,male single,skilled,447.39,good
<0,existing paid,radio/tv,<100,>=7,female div/sep/mar,skilled,881.65,good
<0,critical/other existing credit,new car,<100,>=7,male single,high qualif/self emp/mgmt,1908.72,good
no checking,critical/other existing credit,education,<100,>=7,female div/sep/mar,unskilled resident,1566.36,good
no checking,critical/other existing credit,new car,<100,>=7,male single,unskilled resident,393.92,good
0<=X<200,existing paid,radio/tv,<100,>=7,male single,skilled,296.74,bad
no checking,critical/other existing credit,business,unknown,>=7,male single,skilled,2269.44,good
no checking,existing paid,radio/tv,<100,<1,female div/sep/mar,skilled,582.54,good
<0,existing paid,new car,<100,>=7,male mar/wid/div/sep,high qualif/self emp/mgmt,4040.1,bad
no checking,existing paid,radio/tv,unknown,>=7,male single,skilled,249.75,good
no checking,existing paid,new car,unknown,4<=X<7,male single,skilled,851.84,good
no checking,critical/other existing credit,furniture/equipment,500<=X<1000,4<=X<7,female div/sep/mar,skilled,518.74,good
0<=X<200,no credits/all paid,new car,unknown,unemployed,male single,high qualif/self emp/mgmt,4380.84,good
0<=X<200,existing paid,radio/tv,<100,4<=X<7,male single,skilled,856.8,bad
<0,existing paid,repairs,<100,<1,male mar/wid/div/sep,unskilled resident,4079.32,bad
no checking,existing paid,radio/tv,<100,1<=X<4,male single,skilled,863.04,good
no checking,critical/other existing credit,radio/tv,<100,1<=X<4,female div/sep/mar,skilled,625.04,good
<0,existing paid,furniture/equipment,unknown,>=7,male mar/wid/div/sep,unskilled resident,618.38,good
no checking,existing paid,furniture/equipment,<100,<1,female div/sep/mar,skilled,1475.52,bad
no checking,existing paid,radio/tv,100<=X<500,1<=X<4,male single,high qualif/self emp/mgmt,551.29,good
no checking,critical/other existing credit,used car,>=1000,>=7,male single,skilled,774.64,good
no checking,existing paid,furniture/equipment,<100,1<=X<4,male single,skilled,787,good
>=200,no credits/all paid,radio/tv,unknown,4<=X<7,male single,unskilled resident,708.05,good
no checking,critical/other existing credit,furniture/equipment,unknown,>=7,male single,skilled,957.6,good
0<=X<200,critical/other existing credit,new car,100<=X<500,<1,male mar/wid/div/sep,skilled,1434.86,good
<0,existing paid,new car,<100,<1,female div/sep/mar,unskilled resident,3752.7,good
<0,existing paid,used car,<100,4<=X<7,male single,skilled,1244.88,good
0<=X<200,delayed previously,other,100<=X<500,unemployed,male single,high qualif/self emp/mgmt,2350.42,good
0<=X<200,existing paid,radio/tv,<100,1<=X<4,female div/sep/mar,skilled,535.08,good
<0,delayed previously,radio/tv,<100,<1,male mar/wid/div/sep,skilled,491.52,bad
no checking,existing paid,business,<100,1<=X<4,male mar/wid/div/sep,skilled,279.76,good
0<=X<200,existing paid,used car,<100,<1,male mar/wid/div/sep,high qualif/self emp/mgmt,2631.44,bad
<0,critical/other existing credit,used car,<100,>=7,female div/sep/mar,high qualif/self emp/mgmt,2824.36,good
>=200,critical/other existing credit,used car,<100,>=7,male single,skilled,2685.76,good
no checking,critical/other existing credit,business,unknown,>=7,male mar/wid/div/sep,high qualif/self emp/mgmt,3509.34,good
0<=X<200,existing paid,furniture/equipment,<100,<1,female div/sep/mar,skilled,2589.6,bad
no checking,existing paid,used car,unknown,<1,female div/sep/mar,skilled,935,good
no checking,existing paid,new car,unknown,>=7,male single,unskilled resident,579.15,good
no checking,existing paid,furniture/equipment,<100,1<=X<4,male single,skilled,1081.45,good
0<=X<200,critical/other existing credit,furniture/equipment,>=1000,4<=X<7,male single,skilled,878.4,good
no checking,existing paid,new car,<100,unemployed,female div/sep/mar,unemp/unskilled non res,362.88,good
0<=X<200,no credits/all paid,radio/tv,<100,1<=X<4,female div/sep/mar,skilled,1597.68,bad
>=200,critical/other existing credit,new car,unknown,4<=X<7,male single,unskilled resident,497.28,bad
<0,critical/other existing credit,new car,<100,4<=X<7,male single,skilled,508.62,good
no checking,critical/other existing credit,new car,500<=X<1000,1<=X<4,male single,skilled,4455.88,bad
no checking,existing paid,furniture/equipment,>=1000,1<=X<4,male mar/wid/div/sep,skilled,509.19,good
no checking,existing paid,used car,unknown,4<=X<7,female div/sep/mar,unskilled resident,1154.64,good
<0,existing paid,radio/tv,100<=X<500,<1,male mar/wid/div/sep,unskilled resident,239.91,bad
0<=X<200,existing paid,furniture/equipment,<100,1<=X<4,female div/sep/mar,skilled,296.88,bad
0<=X<200,existing paid,new car,<100,1<=X<4,male mar/wid/div/sep,unskilled resident,60.72,good
0<=X<200,existing paid,other,unknown,unemployed,male single,unemp/unskilled non res,2152.4,good
no checking,existing paid,furniture/equipment,100<=X<500,1<=X<4,male single,skilled,1377.75,good
>=200,existing paid,furniture/equipment,<100,<1,female div/sep/mar,skilled,974.74,good
