Checking Status,Credit History,Purpose,Credit Requested,Saving Status,Employment,Personal Status,Age,Job,Age and Credit / 100,Class
no checking,critical/other existing credit,radio/tv,797,unknown,>=7,female div/sep/mar,33,unskilled resident,263.01,bad
>=200,critical/other existing credit,furniture/equipment,3617,unknown,>=7,male single,20,skilled,723.4,good
0<=X<200,existing paid,new car,1318,>=1000,>=7,male single,54,skilled,711.72,good
0<=X<200,no credits/all paid,business,15945,<100,<1,male single,58,skilled,9248.1,bad
no checking,critical/other existing credit,education,2012,unknown,4<=X<7,female div/sep/mar,61,skilled,1227.32,good
0<=X<200,existing paid,business,2622,100<=X<500,1<=X<4,male single,34,skilled,891.48,good
0<=X<200,critical/other existing credit,radio/tv,2337,<100,>=7,male single,36,skilled,841.32,good
0<=X<200,delayed previously,used car,7057,unknown,4<=X<7,male single,36,high qualif/self emp/mgmt,2540.52,good
no checking,existing paid,new car,1469,100<=X<500,>=7,male mar/wid/div/sep,41,unskilled resident,602.29,good
0<=X<200,existing paid,radio/tv,2323,<100,4<=X<7,male single,24,skilled,557.52,good
no checking,delayed previously,radio/tv,932,<100,1<=X<4,female div/sep/mar,24,skilled,223.68,good
0<=X<200,critical/other existing credit,furniture/equipment,1919,<100,4<=X<7,male single,35,skilled,671.65,good
no checking,existing paid,used car,2445,unknown,<1,male mar/wid/div/sep,26,skilled,635.7,good
0<=X<200,critical/other existing credit,other,11938,<100,1<=X<4,male single,39,high qualif/self emp/mgmt,4655.82,bad
no checking,no credits/all paid,new car,6458,<100,>=7,male single,39,high qualif/self emp/mgmt,2518.62,bad
0<=X<200,existing paid,new car,6078,<100,4<=X<7,male single,32,skilled,1944.96,good
<0,existing paid,furniture/equipment,7721,unknown,<1,female div/sep/mar,30,skilled,2316.3,good
0<=X<200,existing paid,business,1410,500<=X<1000,>=7,male mar/wid/div/sep,35,skilled,493.5,good
0<=X<200,delayed previously,business,1449,100<=X<500,>=7,male mar/wid/div/sep,31,skilled,449.19,good
>=200,existing paid,education,392,<100,<1,female div/sep/mar,23,skilled,90.16,good
0<=X<200,existing paid,new car,6260,<100,4<=X<7,male single,28,unskilled resident,1752.8,good
no checking,critical/other existing credit,new car,7855,<100,1<=X<4,female div/sep/mar,25,skilled,1963.75,bad
<0,existing paid,radio/tv,1680,500<=X<1000,>=7,male mar/wid/div/sep,35,skilled,588,good
no checking,critical/other existing credit,radio/tv,3578,unknown,>=7,male single,47,skilled,1681.66,good
<0,existing paid,radio/tv,7174,unknown,4<=X<7,female div/sep/mar,30,high qualif/self emp/mgmt,2152.2,bad
<0,critical/other existing credit,furniture/equipment,2132,unknown,<1,female div/sep/mar,27,skilled,575.64,good
<0,critical/other existing credit,furniture/equipment,4281,500<=X<1000,1<=X<4,female div/sep/mar,23,skilled,984.63,bad
0<=X<200,critical/other existing credit,new car,2366,500<=X<1000,4<=X<7,male mar/wid/div/sep,36,high qualif/self emp/mgmt,851.76,good
<0,existing paid,radio/tv,1835,<100,1<=X<4,female div/sep/mar,25,skilled,458.75,bad
no checking,critical/other existing credit,used car,3868,<100,>=7,female div/sep/mar,41,high qualif/self emp/mgmt,1585.88,good
no checking,existing paid,furniture/equipment,1768,<100,1<=X<4,male single,24,unskilled resident,424.32,good
>=200,critical/other existing credit,new car,781,<100,>=7,male single,63,skilled,492.03,good
0<=X<200,existing paid,furniture/equipment,1924,unknown,<1,female div/sep/mar,27,skilled,519.48,bad
<0,critical/other existing credit,new car,2121,<100,1<=X<4,male single,30,skilled,636.3,good
<0,existing paid,radio/tv,701,<100,1<=X<4,male mar/wid/div/sep,40,unskilled resident,280.4,good
0<=X<200,existing paid,repairs,639,<100,1<=X<4,male single,30,skilled,191.7,bad
0<=X<200,critical/other existing credit,used car,1860,<100,unemployed,male single,34,high qualif/self emp/mgmt,632.4,good
<0,critical/other existing credit,new car,3499,<100,1<=X<4,female div/sep/mar,29,skilled,1014.71,bad
0<=X<200,existing paid,new car,8487,unknown,4<=X<7,female div/sep/mar,24,skilled,2036.88,good
<0,delayed previously,education,6887,<100,1<=X<4,male single,29,skilled,1997.23,bad
no checking,existing paid,furniture/equipment,2708,<100,<1,male single,27,unskilled resident,731.16,good
no checking,existing paid,furniture/equipment,1984,<100,1<=X<4,male single,47,skilled,932.48,good
no checking,existing paid,radio/tv,10144,100<=X<500,4<=X<7,female div/sep/mar,21,skilled,2130.24,good
no checking,critical/other existing credit,radio/tv,1240,unknown,>=7,female div/sep/mar,38,skilled,471.2,good
no checking,delayed previously,used car,8613,>=1000,1<=X<4,male single,27,skilled,2325.51,good
0<=X<200,existing paid,radio/tv,766,500<=X<1000,1<=X<4,male single,66,unskilled resident,505.56,bad
0<=X<200,critical/other existing credit,radio/tv,2728,unknown,4<=X<7,male single,35,skilled,954.8,good
>=200,existing paid,radio/tv,1881,<100,1<=X<4,female div/sep/mar,44,unskilled resident,827.64,good
>=200,existing paid,new car,709,>=1000,<1,male mar/wid/div/sep,27,unemp/unskilled non res,191.43,good
0<=X<200,existing paid,radio/tv,4795,<100,<1,female div/sep/mar,30,high qualif/self emp/mgmt,1438.5,good
<0,existing paid,radio/tv,3416,<100,1<=X<4,male single,27,high qualif/self emp/mgmt,922.32,good
<0,existing paid,furniture/equipment,2462,<100,1<=X<4,male single,22,skilled,541.64,bad
no checking,critical/other existing credit,furniture/equipment,2288,<100,<1,female div/sep/mar,23,skilled,526.24,good
0<=X<200,no credits/all paid,business,3566,100<=X<500,4<=X<7,male single,30,skilled,1069.8,good
<0,critical/other existing credit,new car,860,<100,>=7,female div/sep/mar,39,skilled,335.4,good
no checking,critical/other existing credit,new car,682,100<=X<500,4<=X<7,female div/sep/mar,51,skilled,347.82,good
<0,critical/other existing credit,furniture/equipment,5371,<100,1<=X<4,male single,28,skilled,1503.88,good
no checking,critical/other existing credit,radio/tv,1582,>=1000,>=7,male single,46,skilled,727.72,good
no checking,existing paid,radio/tv,1346,100<=X<500,>=7,male single,42,skilled,565.32,good
no checking,existing paid,radio/tv,1924,<100,1<=X<4,male single,38,skilled,731.12,good
>=200,existing paid,radio/tv,5848,<100,1<=X<4,male single,24,skilled,1403.52,good
0<=X<200,critical/other existing credit,used car,7758,>=1000,>=7,female div/sep/mar,29,skilled,2249.82,good
0<=X<200,delayed previously,business,6967,100<=X<500,4<=X<7,male single,36,high qualif/self emp/mgmt,2508.12,good
<0,existing paid,furniture/equipment,1282,<100,1<=X<4,female div/sep/mar,20,skilled,256.4,bad
<0,critical/other existing credit,repairs,1288,100<=X<500,>=7,male single,48,skilled,618.24,good
<0,no credits/all paid,retraining,339,<100,>=7,male mar/wid/div/sep,45,unskilled resident,152.55,good
0<=X<200,existing paid,new car,3512,100<=X<500,4<=X<7,male single,38,skilled,1334.56,good
no checking,critical/other existing credit,radio/tv,1898,unknown,1<=X<4,male single,34,unskilled resident,645.32,good
no checking,critical/other existing credit,radio/tv,2872,100<=X<500,>=7,male single,36,skilled,1033.92,good
no checking,critical/other existing credit,new car,1055,<100,<1,female div/sep/mar,30,skilled,316.5,good
no checking,existing paid,furniture/equipment,1262,500<=X<1000,4<=X<7,male single,36,skilled,454.32,good
0<=X<200,existing paid,new car,7308,<100,unemployed,male single,70,high qualif/self emp/mgmt,5115.6,good
no checking,existing paid,new car,909,500<=X<1000,>=7,male single,36,skilled,327.24,good
no checking,existing paid,furniture/equipment,2978,500<=X<1000,1<=X<4,male single,32,skilled,952.96,good
<0,existing paid,furniture/equipment,1131,<100,unemployed,female div/sep/mar,33,skilled,373.23,bad
0<=X<200,existing paid,furniture/equipment,1577,>=1000,<1,female div/sep/mar,20,skilled,315.4,good
no checking,existing paid,furniture/equipment,3972,<100,4<=X<7,female div/sep/mar,25,skilled,993,good
0<=X<200,critical/other existing credit,business,1935,<100,>=7,male mar/wid/div/sep,31,skilled,599.85,bad
<0,no credits/all paid,new car,950,<100,>=7,male single,33,skilled,313.5,bad
no checking,existing paid,furniture/equipment,763,<100,1<=X<4,female div/sep/mar,26,skilled,198.38,good
0<=X<200,delayed previously,furniture/equipment,2064,<100,unemployed,female div/sep/mar,34,high qualif/self emp/mgmt,701.76,bad
0<=X<200,existing paid,radio/tv,1414,<100,1<=X<4,male single,33,skilled,466.62,good
<0,delayed previously,education,3414,<100,<1,male single,26,skilled,887.64,bad
no checking,no credits/all paid,used car,7485,unknown,unemployed,female div/sep/mar,53,high qualif/self emp/mgmt,3967.05,bad
<0,existing paid,furniture/equipment,2577,<100,1<=X<4,male mar/wid/div/sep,42,skilled,1082.34,good
<0,critical/other existing credit,radio/tv,338,500<=X<1000,>=7,male single,52,skilled,175.76,good
no checking,existing paid,radio/tv,1963,<100,4<=X<7,male single,31,high qualif/self emp/mgmt,608.53,good
<0,critical/other existing credit,new car,571,<100,>=7,male single,65,skilled,371.15,good
no checking,delayed previously,business,9572,<100,<1,male mar/wid/div/sep,28,skilled,2680.16,bad
0<=X<200,delayed previously,business,4455,<100,1<=X<4,male mar/wid/div/sep,30,high qualif/self emp/mgmt,1336.5,bad
<0,no credits/all paid,new car,1647,unknown,1<=X<4,male single,40,unskilled resident,658.8,bad
no checking,critical/other existing credit,furniture/equipment,3777,>=1000,1<=X<4,male single,50,skilled,1888.5,good
0<=X<200,critical/other existing credit,new car,884,<100,>=7,male single,36,skilled,318.24,bad
no checking,critical/other existing credit,radio/tv,1360,<100,1<=X<4,male single,31,skilled,421.6,good
0<=X<200,no credits/all paid,used car,5129,<100,>=7,female div/sep/mar,74,high qualif/self emp/mgmt,3795.46,bad
0<=X<200,critical/other existing credit,new car,1175,<100,unemployed,male single,68,unemp/unskilled non res,799,good
<0,existing paid,radio/tv,674,100<=X<500,4<=X<7,male mar/wid/div/sep,20,skilled,134.8,bad
0<=X<200,no credits/all paid,furniture/equipment,3244,<100,1<=X<4,female div/sep/mar,33,skilled,1070.52,good
no checking,existing paid,business,4591,>=1000,1<=X<4,male single,54,high qualif/self emp/mgmt,2479.14,bad
0<=X<200,no credits/all paid,business,3844,100<=X<500,4<=X<7,male single,34,unskilled resident,1306.96,bad
0<=X<200,existing paid,business,3915,<100,1<=X<4,male single,36,skilled,1409.4,bad
no checking,existing paid,radio/tv,2108,<100,4<=X<7,male mar/wid/div/sep,29,skilled,611.32,good
0<=X<200,existing paid,radio/tv,3031,100<=X<500,1<=X<4,male single,21,skilled,636.51,bad
0<=X<200,critical/other existing credit,education,1501,<100,>=7,female div/sep/mar,34,high qualif/self emp/mgmt,510.34,bad
no checking,critical/other existing credit,radio/tv,1382,<100,1<=X<4,female div/sep/mar,28,skilled,386.96,good
0<=X<200,existing paid,furniture/equipment,951,100<=X<500,<1,female div/sep/mar,27,skilled,256.77,bad
0<=X<200,existing paid,used car,2760,unknown,>=7,male single,36,skilled,993.6,good
0<=X<200,delayed previously,furniture/equipment,4297,<100,>=7,male mar/wid/div/sep,40,high qualif/self emp/mgmt,1718.8,bad
no checking,critical/other existing credit,education,936,500<=X<1000,>=7,male single,52,skilled,486.72,good
<0,existing paid,new car,1168,<100,1<=X<4,male mar/wid/div/sep,27,unskilled resident,315.36,good
no checking,delayed previously,business,5117,<100,4<=X<7,male single,26,skilled,1330.42,good
<0,existing paid,retraining,902,<100,4<=X<7,male mar/wid/div/sep,21,skilled,189.42,bad
no checking,critical/other existing credit,new car,1495,<100,>=7,male single,38,unskilled resident,568.1,good
<0,critical/other existing credit,used car,10623,<100,>=7,male single,38,high qualif/self emp/mgmt,4036.74,good
no checking,critical/other existing credit,furniture/equipment,1935,<100,>=7,male single,43,skilled,832.05,good
0<=X<200,critical/other existing credit,furniture/equipment,1424,<100,4<=X<7,male single,26,skilled,370.24,good
<0,existing paid,business,6568,<100,1<=X<4,male mar/wid/div/sep,21,unskilled resident,1379.28,good
no checking,existing paid,used car,1413,>=1000,4<=X<7,male single,55,skilled,777.15,good
no checking,critical/other existing credit,radio/tv,3074,unknown,1<=X<4,male single,33,skilled,1014.42,good
no checking,existing paid,radio/tv,3835,unknown,>=7,female div/sep/mar,45,unskilled resident,1725.75,good
<0,no credits/all paid,business,5293,<100,unemployed,male single,50,skilled,2646.5,bad
>=200,delayed previously,business,1908,<100,>=7,male single,66,high qualif/self emp/mgmt,1259.28,bad
no checking,critical/other existing credit,radio/tv,3342,unknown,>=7,male single,51,skilled,1704.42,good
0<=X<200,critical/other existing credit,retraining,932,unknown,4<=X<7,female div/sep/mar,39,unskilled resident,363.48,good
<0,no credits/all paid,business,3104,<100,4<=X<7,male single,31,skilled,962.24,good
>=200,existing paid,radio/tv,3913,<100,1<=X<4,male single,23,skilled,899.99,good
<0,existing paid,furniture/equipment,3021,<100,1<=X<4,male mar/wid/div/sep,24,unskilled resident,725.04,good
no checking,existing paid,new car,1364,<100,1<=X<4,female div/sep/mar,64,skilled,872.96,good
0<=X<200,existing paid,radio/tv,625,<100,<1,male mar/wid/div/sep,26,unskilled resident,162.5,good
<0,existing paid,education,1200,unknown,1<=X<4,female div/sep/mar,23,skilled,276,good
no checking,existing paid,radio/tv,707,<100,1<=X<4,male single,30,skilled,212.1,good
no checking,delayed previously,business,2978,unknown,1<=X<4,male single,32,skilled,952.96,good
no checking,existing paid,used car,4657,<100,1<=X<4,male single,30,skilled,1397.1,good
no checking,no credits/all paid,repairs,2613,<100,1<=X<4,male single,27,skilled,705.51,good
0<=X<200,existing paid,radio/tv,10961,>=1000,4<=X<7,male single,27,skilled,2959.47,bad
<0,existing paid,furniture/equipment,7865,<100,>=7,male single,53,high qualif/self emp/mgmt,4168.45,bad
no checking,existing paid,radio/tv,1478,<100,4<=X<7,male single,22,skilled,325.16,bad
<0,existing paid,furniture/equipment,3149,<100,<1,male single,22,skilled,692.78,good
>=200,existing paid,radio/tv,4210,<100,1<=X<4,male single,26,skilled,1094.6,bad
no checking,existing paid,new car,2507,500<=X<1000,>=7,male single,51,unskilled resident,1278.57,good
no checking,existing paid,radio/tv,2141,100<=X<500,4<=X<7,male single,35,skilled,749.35,good
0<=X<200,existing paid,radio/tv,866,<100,1<=X<4,male mar/wid/div/sep,25,unskilled resident,216.5,good
no checking,critical/other existing credit,radio/tv,1544,<100,4<=X<7,male single,42,unskilled resident,648.48,good
<0,existing paid,radio/tv,1823,<100,unemployed,male single,30,high qualif/self emp/mgmt,546.9,bad
0<=X<200,existing paid,new car,14555,unknown,unemployed,male single,23,unemp/unskilled non res,3347.65,bad
0<=X<200,existing paid,business,2767,100<=X<500,>=7,male mar/wid/div/sep,61,unskilled resident,1687.87,bad
no checking,critical/other existing credit,radio/tv,1291,<100,1<=X<4,female div/sep/mar,35,skilled,451.85,good
<0,existing paid,radio/tv,2522,<100,>=7,male single,39,skilled,983.58,good
<0,existing paid,new car,915,unknown,>=7,female div/sep/mar,29,skilled,265.35,bad
no checking,existing paid,radio/tv,1595,<100,4<=X<7,male single,51,skilled,813.45,good
<0,no credits/all paid,used car,4605,<100,>=7,male single,24,skilled,1105.2,bad
no checking,critical/other existing credit,business,1185,<100,1<=X<4,female div/sep/mar,27,skilled,319.95,good
no checking,no credits/all paid,retraining,3447,500<=X<1000,1<=X<4,female div/sep/mar,35,unskilled resident,1206.45,good
no checking,existing paid,business,1258,<100,4<=X<7,male single,25,skilled,314.5,good
no checking,critical/other existing credit,radio/tv,717,<100,>=7,male single,52,skilled,372.84,good
no checking,no credits/all paid,new car,1204,100<=X<500,1<=X<4,male single,35,skilled,421.4,good
>=200,existing paid,furniture/equipment,1925,<100,1<=X<4,male single,26,skilled,500.5,good
no checking,existing paid,radio/tv,433,<100,unemployed,female div/sep/mar,22,skilled,95.26,bad
<0,critical/other existing credit,new car,666,>=1000,4<=X<7,female div/sep/mar,39,unskilled resident,259.74,good
>=200,existing paid,furniture/equipment,2251,<100,1<=X<4,female div/sep/mar,46,unskilled resident,1035.46,good
0<=X<200,existing paid,new car,2150,<100,1<=X<4,female div/sep/mar,24,skilled,516,bad
no checking,delayed previously,furniture/equipment,4151,100<=X<500,1<=X<4,male single,35,skilled,1452.85,good
0<=X<200,existing paid,furniture/equipment,2030,unknown,4<=X<7,male single,24,skilled,487.2,good
0<=X<200,delayed previously,radio/tv,7418,unknown,1<=X<4,male single,27,unskilled resident,2002.86,good
no checking,critical/other existing credit,radio/tv,2684,<100,1<=X<4,male single,35,unskilled resident,939.4,good
<0,no credits/all paid,radio/tv,2149,<100,1<=X<4,male mar/wid/div/sep,29,skilled,623.21,bad
no checking,existing paid,used car,3812,100<=X<500,<1,female div/sep/mar,23,skilled,876.76,good
no checking,critical/other existing credit,radio/tv,1154,100<=X<500,unemployed,female div/sep/mar,57,unskilled resident,657.78,good
<0,existing paid,furniture/equipment,1657,<100,1<=X<4,male single,27,skilled,447.39,good
<0,existing paid,radio/tv,1603,<100,>=7,female div/sep/mar,55,skilled,881.65,good
<0,critical/other existing credit,new car,5302,<100,>=7,male single,36,high qualif/self emp/mgmt,1908.72,good
no checking,critical/other existing credit,education,2748,<100,>=7,female div/sep/mar,57,unskilled resident,1566.36,good
no checking,critical/other existing credit,new car,1231,<100,>=7,male single,32,unskilled resident,393.92,good
0<=X<200,existing paid,radio/tv,802,<100,>=7,male single,37,skilled,296.74,bad
no checking,critical/other existing credit,business,6304,unknown,>=7,male single,36,skilled,2269.44,good
no checking,existing paid,radio/tv,1533,<100,<1,female div/sep/mar,38,skilled,582.54,good
<0,existing paid,new car,8978,<100,>=7,male mar/wid/div/sep,45,high qualif/self emp/mgmt,4040.1,bad
no checking,existing paid,radio/tv,999,unknown,>=7,male single,25,skilled,249.75,good
no checking,existing paid,new car,2662,unknown,4<=X<7,male single,32,skilled,851.84,good
no checking,critical/other existing credit,furniture/equipment,1402,500<=X<1000,4<=X<7,female div/sep/mar,37,skilled,518.74,good
0<=X<200,no credits/all paid,new car,12169,unknown,unemployed,male single,36,high qualif/self emp/mgmt,4380.84,good
0<=X<200,existing paid,radio/tv,3060,<100,4<=X<7,male single,28,skilled,856.8,bad
<0,existing paid,repairs,11998,<100,<1,male mar/wid/div/sep,34,unskilled resident,4079.32,bad
no checking,existing paid,radio/tv,2697,<100,1<=X<4,male single,32,skilled,863.04,good
no checking,critical/other existing credit,radio/tv,2404,<100,1<=X<4,female div/sep/mar,26,skilled,625.04,good
<0,existing paid,furniture/equipment,1262,unknown,>=7,male mar/wid/div/sep,49,unskilled resident,618.38,good
no checking,existing paid,furniture/equipment,4611,<100,<1,female div/sep/mar,32,skilled,1475.52,bad
no checking,existing paid,radio/tv,1901,100<=X<500,1<=X<4,male single,29,high qualif/self emp/mgmt,551.29,good
no checking,critical/other existing credit,used car,3368,>=1000,>=7,male single,23,skilled,774.64,good
no checking,existing paid,furniture/equipment,1574,<100,1<=X<4,male single,50,skilled,787,good
>=200,no credits/all paid,radio/tv,1445,unknown,4<=X<7,male single,49,unskilled resident,708.05,good
