Checking Status,Credit History,Purpose,Credit Requested,Saving Status,Employment,Personal Status,Age,Job,Class
<0,critical/other existing credit,new car,0.11205,<100,<1,male single,0.48,unskilled resident,good
0<=X<200,critical/other existing credit,used car,0.0902,100<=X<500,<1,male single,0.44,skilled,good
no checking,critical/other existing credit,furniture/equipment,0.10345,unknown,1<=X<4,male mar/wid/div/sep,0.26,skilled,good
<0,existing paid,furniture/equipment,0.0687,<100,1<=X<4,male single,0.6,unskilled resident,good
no checking,no credits/all paid,furniture/equipment,0.0213,<100,>=7,male mar/wid/div/sep,0.39,unskilled resident,good
>=200,no credits/all paid,furniture/equipment,0.02045,>=1000,1<=X<4,female div/sep/mar,0.42,skilled,good
0<=X<200,existing paid,furniture/equipment,0.12075,<100,1<=X<4,male single,0.34,skilled,good
<0,delayed previously,business,0.3418,<100,>=7,male single,0.63,skilled,bad
0<=X<200,existing paid,business,0.09565,>=1000,<1,male mar/wid/div/sep,0.36,skilled,good
<0,existing paid,furniture/equipment,0.201,<100,1<=X<4,male single,0.27,skilled,good
0<=X<200,existing paid,new car,0.2933,100<=X<500,1<=X<4,male single,0.3,skilled,good
no checking,critical/other existing credit,business,0.0632,unknown,>=7,male single,0.57,unskilled resident,good
>=200,existing paid,furniture/equipment,0.0737,<100,<1,female div/sep/mar,0.33,high qualif/self emp/mgmt,good
0<=X<200,critical/other existing credit,furniture/equipment,0.2373,<100,<1,male single,0.25,unskilled resident,bad
no checking,critical/other existing credit,education,0.3055,<100,1<=X<4,male single,0.31,skilled,good
>=200,existing paid,furniture/equipment,0.105,<100,1<=X<4,male single,0.37,skilled,bad
>=200,existing paid,furniture/equipment,0.06125,<100,1<=X<4,male single,0.37,skilled,good
0<=X<200,existing paid,furniture/equipment,0.0229,<100,1<=X<4,male single,0.24,skilled,good
no checking,existing paid,furniture/equipment,0.11665,500<=X<1000,>=7,male single,0.3,high qualif/self emp/mgmt,good
0<=X<200,existing paid,furniture/equipment,0.0579,500<=X<1000,1<=X<4,male mar/wid/div/sep,0.26,skilled,good
0<=X<200,delayed previously,repairs,0.3102,<100,1<=X<4,male single,0.44,unskilled resident,good
<0,critical/other existing credit,used car,0.30935,100<=X<500,4<=X<7,male mar/wid/div/sep,0.24,skilled,good
<0,critical/other existing credit,used car,0.30715,<100,>=7,female div/sep/mar,0.58,unskilled resident,bad
no checking,critical/other existing credit,new car,0.06965,<100,<1,female div/sep/mar,0.35,high qualif/self emp/mgmt,good
no checking,existing paid,furniture/equipment,0.11495,500<=X<1000,>=7,male single,0.39,skilled,good
<0,existing paid,used car,0.0676,500<=X<1000,unemployed,female div/sep/mar,0.23,unemp/unskilled non res,good
no checking,critical/other existing credit,new car,0.3614,<100,1<=X<4,male single,0.39,unskilled resident,good
no checking,existing paid,furniture/equipment,0.10365,100<=X<500,1<=X<4,female div/sep/mar,0.28,skilled,good
0<=X<200,delayed previously,furniture/equipment,0.11665,unknown,<1,male single,0.29,unskilled resident,good
0<=X<200,delayed previously,used car,0.29825,<100,>=7,male single,0.3,high qualif/self emp/mgmt,good
no checking,existing paid,furniture/equipment,0.0631,<100,1<=X<4,male single,0.25,skilled,good
no checking,existing paid,used car,0.1689,unknown,1<=X<4,male single,0.25,skilled,good
0<=X<200,delayed previously,new car,0.11125,<100,>=7,male single,0.57,skilled,bad
no checking,no credits/all paid,new car,0.03915,unknown,1<=X<4,male single,0.26,unskilled resident,good
0<=X<200,existing paid,furniture/equipment,0.3234,unknown,unemployed,male single,0.52,high qualif/self emp/mgmt,bad
no checking,critical/other existing credit,furniture/equipment,0.4783,<100,1<=X<4,female div/sep/mar,0.31,skilled,good
>=200,existing paid,new car,0.09805,<100,>=7,female div/sep/mar,0.23,high qualif/self emp/mgmt,good
<0,critical/other existing credit,furniture/equipment,0.31145,<100,<1,female div/sep/mar,0.23,unskilled resident,bad
0<=X<200,existing paid,business,0.06955,<100,1<=X<4,male mar/wid/div/sep,0.27,skilled,good
0<=X<200,critical/other existing credit,furniture/equipment,0.07685,unknown,>=7,male single,0.5,skilled,good
0<=X<200,no credits/all paid,business,0.09765,<100,>=7,male single,0.61,high qualif/self emp/mgmt,bad
0<=X<200,no credits/all paid,business,0.72105,<100,1<=X<4,male single,0.25,skilled,bad
no checking,existing paid,furniture/equipment,0.15905,<100,<1,female div/sep/mar,0.26,skilled,good
no checking,existing paid,repairs,0.2595,unknown,>=7,male single,0.48,skilled,good
no checking,existing paid,furniture/equipment,0.10855,<100,<1,female div/sep/mar,0.29,skilled,good
0<=X<200,existing paid,new car,0.05035,>=1000,1<=X<4,male mar/wid/div/sep,0.22,skilled,good
no checking,existing paid,education,0.09095,<100,1<=X<4,male single,0.37,skilled,bad
no checking,existing paid,furniture/equipment,0.1197,unknown,1<=X<4,female div/sep/mar,0.25,skilled,good
no checking,existing paid,used car,0.40665,<100,1<=X<4,female div/sep/mar,0.3,skilled,good
no checking,critical/other existing credit,furniture/equipment,0.0365,unknown,>=7,male single,0.46,unskilled resident,good
<0,critical/other existing credit,other,0.0582,<100,>=7,male single,0.51,high qualif/self emp/mgmt,good
0<=X<200,critical/other existing credit,business,0.2977,<100,4<=X<7,female div/sep/mar,0.41,unskilled resident,good
<0,existing paid,education,0.09885,unknown,>=7,male single,0.4,high qualif/self emp/mgmt,bad
<0,critical/other existing credit,used car,0.0763,<100,>=7,male single,0.66,high qualif/self emp/mgmt,good
<0,existing paid,furniture/equipment,0.19825,<100,<1,male single,0.34,skilled,bad
0<=X<200,delayed previously,furniture/equipment,0.23855,<100,4<=X<7,male single,0.51,skilled,good
no checking,no credits/all paid,used car,0.4718,unknown,1<=X<4,male single,0.39,unskilled resident,good
0<=X<200,existing paid,furniture/equipment,0.1916,<100,<1,male mar/wid/div/sep,0.22,skilled,good
no checking,existing paid,furniture/equipment,0.29715,unknown,<1,female div/sep/mar,0.44,skilled,bad
no checking,existing paid,furniture/equipment,0.06065,500<=X<1000,>=7,male single,0.47,skilled,good
no checking,existing paid,business,0.0784,100<=X<500,1<=X<4,female div/sep/mar,0.24,unskilled resident,good
<0,existing paid,other,0.08775,<100,>=7,female div/sep/mar,0.58,unskilled resident,good
<0,existing paid,furniture/equipment,0.11575,<100,>=7,male single,0.52,unskilled resident,good
no checking,critical/other existing credit,business,0.0706,<100,1<=X<4,female div/sep/mar,0.29,high qualif/self emp/mgmt,good
0<=X<200,critical/other existing credit,furniture/equipment,0.06475,<100,<1,female div/sep/mar,0.27,skilled,good
0<=X<200,existing paid,education,0.6306,100<=X<500,1<=X<4,male single,0.47,skilled,bad
<0,existing paid,new car,0.11245,100<=X<500,4<=X<7,male single,0.3,high qualif/self emp/mgmt,good
<0,no credits/all paid,repairs,0.0554,<100,4<=X<7,male single,0.28,skilled,bad
no checking,critical/other existing credit,furniture/equipment,0.0309,<100,>=7,male single,0.56,skilled,good
<0,critical/other existing credit,used car,0.07045,<100,>=7,male single,0.54,skilled,good
no checking,critical/other existing credit,furniture/equipment,0.03985,unknown,>=7,female div/sep/mar,0.33,unskilled resident,bad
>=200,critical/other existing credit,furniture/equipment,0.18085,unknown,>=7,male single,0.2,skilled,good
0<=X<200,existing paid,new car,0.0659,>=1000,>=7,male single,0.54,skilled,good
0<=X<200,no credits/all paid,business,0.79725,<100,<1,male single,0.58,skilled,bad
no checking,critical/other existing credit,education,0.1006,unknown,4<=X<7,female div/sep/mar,0.61,skilled,good
0<=X<200,existing paid,business,0.1311,100<=X<500,1<=X<4,male single,0.34,skilled,good
0<=X<200,critical/other existing credit,furniture/equipment,0.11685,<100,>=7,male single,0.36,skilled,good
0<=X<200,delayed previously,used car,0.35285,unknown,4<=X<7,male single,0.36,high qualif/self emp/mgmt,good
no checking,existing paid,new car,0.07345,100<=X<500,>=7,male mar/wid/div/sep,0.41,unskilled resident,good
0<=X<200,existing paid,furniture/equipment,0.11615,<100,4<=X<7,male single,0.24,skilled,good
no checking,delayed previously,furniture/equipment,0.0466,<100,1<=X<4,female div/sep/mar,0.24,skilled,good
0<=X<200,critical/other existing credit,furniture/equipment,0.09595,<100,4<=X<7,male single,0.35,skilled,good
no checking,existing paid,used car,0.12225,unknown,<1,male mar/wid/div/sep,0.26,skilled,good
0<=X<200,critical/other existing credit,other,0.5969,<100,1<=X<4,male single,0.39,high qualif/self emp/mgmt,bad
no checking,no credits/all paid,new car,0.3229,<100,>=7,male single,0.39,high qualif/self emp/mgmt,bad
0<=X<200,existing paid,new car,0.3039,<100,4<=X<7,male single,0.32,skilled,good
<0,existing paid,furniture/equipment,0.38605,unknown,<1,female div/sep/mar,0.3,skilled,good
0<=X<200,existing paid,business,0.0705,500<=X<1000,>=7,male mar/wid/div/sep,0.35,skilled,good
0<=X<200,delayed previously,business,0.07245,100<=X<500,>=7,male mar/wid/div/sep,0.31,skilled,good
>=200,existing paid,education,0.0196,<100,<1,female div/sep/mar,0.23,skilled,good
0<=X<200,existing paid,new car,0.313,<100,4<=X<7,male single,0.28,unskilled resident,good
no checking,critical/other existing credit,new car,0.39275,<100,1<=X<4,female div/sep/mar,0.25,skilled,bad
<0,existing paid,furniture/equipment,0.084,500<=X<1000,>=7,male mar/wid/div/sep,0.35,skilled,good
no checking,critical/other existing credit,furniture/equipment,0.1789,unknown,>=7,male single,0.47,skilled,good
<0,existing paid,furniture/equipment,0.3587,unknown,4<=X<7,female div/sep/mar,0.3,high qualif/self emp/mgmt,bad
<0,critical/other existing credit,furniture/equipment,0.1066,unknown,<1,female div/sep/mar,0.27,skilled,good
<0,critical/other existing credit,furniture/equipment,0.21405,500<=X<1000,1<=X<4,female div/sep/mar,0.23,skilled,bad
0<=X<200,critical/other existing credit,new car,0.1183,500<=X<1000,4<=X<7,male mar/wid/div/sep,0.36,high qualif/self emp/mgmt,good
<0,existing paid,furniture/equipment,0.09175,<100,1<=X<4,female div/sep/mar,0.25,skilled,bad
no checking,critical/other existing credit,used car,0.1934,<100,>=7,female div/sep/mar,0.41,high qualif/self emp/mgmt,good
no checking,existing paid,furniture/equipment,0.0884,<100,1<=X<4,male single,0.24,unskilled resident,good
>=200,critical/other existing credit,new car,0.03905,<100,>=7,male single,0.63,skilled,good
0<=X<200,existing paid,furniture/equipment,0.0962,unknown,<1,female div/sep/mar,0.27,skilled,bad
<0,critical/other existing credit,new car,0.10605,<100,1<=X<4,male single,0.3,skilled,good
<0,existing paid,furniture/equipment,0.03505,<100,1<=X<4,male mar/wid/div/sep,0.4,unskilled resident,good
0<=X<200,existing paid,repairs,0.03195,<100,1<=X<4,male single,0.3,skilled,bad
0<=X<200,critical/other existing credit,used car,0.093,<100,unemployed,male single,0.34,high qualif/self emp/mgmt,good
<0,critical/other existing credit,new car,0.17495,<100,1<=X<4,female div/sep/mar,0.29,skilled,bad
0<=X<200,existing paid,new car,0.42435,unknown,4<=X<7,female div/sep/mar,0.24,skilled,good
<0,delayed previously,education,0.34435,<100,1<=X<4,male single,0.29,skilled,bad
no checking,existing paid,furniture/equipment,0.1354,<100,<1,male single,0.27,unskilled resident,good
no checking,existing paid,furniture/equipment,0.0992,<100,1<=X<4,male single,0.47,skilled,good
no checking,existing paid,furniture/equipment,0.5072,100<=X<500,4<=X<7,female div/sep/mar,0.21,skilled,good
no checking,critical/other existing credit,furniture/equipment,0.062,unknown,>=7,female div/sep/mar,0.38,skilled,good
no checking,delayed previously,used car,0.43065,>=1000,1<=X<4,male single,0.27,skilled,good
0<=X<200,existing paid,furniture/equipment,0.0383,500<=X<1000,1<=X<4,male single,0.66,unskilled resident,bad
0<=X<200,critical/other existing credit,furniture/equipment,0.1364,unknown,4<=X<7,male single,0.35,skilled,good
>=200,existing paid,furniture/equipment,0.09405,<100,1<=X<4,female div/sep/mar,0.44,unskilled resident,good
>=200,existing paid,new car,0.03545,>=1000,<1,male mar/wid/div/sep,0.27,unemp/unskilled non res,good
0<=X<200,existing paid,furniture/equipment,0.23975,<100,<1,female div/sep/mar,0.3,high qualif/self emp/mgmt,good
<0,existing paid,furniture/equipment,0.1708,<100,1<=X<4,male single,0.27,high qualif/self emp/mgmt,good
<0,existing paid,furniture/equipment,0.1231,<100,1<=X<4,male single,0.22,skilled,bad
no checking,critical/other existing credit,furniture/equipment,0.1144,<100,<1,female div/sep/mar,0.23,skilled,good
0<=X<200,no credits/all paid,business,0.1783,100<=X<500,4<=X<7,male single,0.3,skilled,good
<0,critical/other existing credit,new car,0.043,<100,>=7,female div/sep/mar,0.39,skilled,good
no checking,critical/other existing credit,new car,0.0341,100<=X<500,4<=X<7,female div/sep/mar,0.51,skilled,good
<0,critical/other existing credit,furniture/equipment,0.26855,<100,1<=X<4,male single,0.28,skilled,good
no checking,critical/other existing credit,furniture/equipment,0.0791,>=1000,>=7,male single,0.46,skilled,good
no checking,existing paid,furniture/equipment,0.0673,100<=X<500,>=7,male single,0.42,skilled,good
no checking,existing paid,furniture/equipment,0.0962,<100,1<=X<4,male single,0.38,skilled,good
>=200,existing paid,furniture/equipment,0.2924,<100,1<=X<4,male single,0.24,skilled,good
0<=X<200,critical/other existing credit,used car,0.3879,>=1000,>=7,female div/sep/mar,0.29,skilled,good
0<=X<200,delayed previously,business,0.34835,100<=X<500,4<=X<7,male single,0.36,high qualif/self emp/mgmt,good
<0,existing paid,furniture/equipment,0.0641,<100,1<=X<4,female div/sep/mar,0.2,skilled,bad
<0,critical/other existing credit,repairs,0.0644,100<=X<500,>=7,male single,0.48,skilled,good
<0,no credits/all paid,retraining,0.01695,<100,>=7,male mar/wid/div/sep,0.45,unskilled resident,good
0<=X<200,existing paid,new car,0.1756,100<=X<500,4<=X<7,male single,0.38,skilled,good
no checking,critical/other existing credit,furniture/equipment,0.0949,unknown,1<=X<4,male single,0.34,unskilled resident,good
no checking,critical/other existing credit,furniture/equipment,0.1436,100<=X<500,>=7,male single,0.36,skilled,good
no checking,critical/other existing credit,new car,0.05275,<100,<1,female div/sep/mar,0.3,skilled,good
no checking,existing paid,furniture/equipment,0.0631,500<=X<1000,4<=X<7,male single,0.36,skilled,good
0<=X<200,existing paid,new car,0.3654,<100,unemployed,male single,0.7,high qualif/self emp/mgmt,good
no checking,existing paid,new car,0.04545,500<=X<1000,>=7,male single,0.36,skilled,good
no checking,existing paid,furniture/equipment,0.1489,500<=X<1000,1<=X<4,male single,0.32,skilled,good
<0,existing paid,furniture/equipment,0.05655,<100,unemployed,female div/sep/mar,0.33,skilled,bad
0<=X<200,existing paid,furniture/equipment,0.07885,>=1000,<1,female div/sep/mar,0.2,skilled,good
no checking,existing paid,furniture/equipment,0.1986,<100,4<=X<7,female div/sep/mar,0.25,skilled,good
0<=X<200,critical/other existing credit,business,0.09675,<100,>=7,male mar/wid/div/sep,0.31,skilled,bad
<0,no credits/all paid,new car,0.0475,<100,>=7,male single,0.33,skilled,bad
no checking,existing paid,furniture/equipment,0.03815,<100,1<=X<4,female div/sep/mar,0.26,skilled,good
0<=X<200,delayed previously,furniture/equipment,0.1032,<100,unemployed,female div/sep/mar,0.34,high qualif/self emp/mgmt,bad
0<=X<200,existing paid,furniture/equipment,0.0707,<100,1<=X<4,male single,0.33,skilled,good
<0,delayed previously,education,0.1707,<100,<1,male single,0.26,skilled,bad
no checking,no credits/all paid,used car,0.37425,unknown,unemployed,female div/sep/mar,0.53,high qualif/self emp/mgmt,bad
<0,existing paid,furniture/equipment,0.12885,<100,1<=X<4,male mar/wid/div/sep,0.42,skilled,good
<0,critical/other existing credit,furniture/equipment,0.0169,500<=X<1000,>=7,male single,0.52,skilled,good
no checking,existing paid,furniture/equipment,0.09815,<100,4<=X<7,male single,0.31,high qualif/self emp/mgmt,good
<0,critical/other existing credit,new car,0.02855,<100,>=7,male single,0.65,skilled,good
no checking,delayed previously,business,0.4786,<100,<1,male mar/wid/div/sep,0.28,skilled,bad
0<=X<200,delayed previously,business,0.22275,<100,1<=X<4,male mar/wid/div/sep,0.3,high qualif/self emp/mgmt,bad
<0,no credits/all paid,new car,0.08235,unknown,1<=X<4,male single,0.4,unskilled resident,bad
no checking,critical/other existing credit,furniture/equipment,0.18885,>=1000,1<=X<4,male single,0.5,skilled,good
0<=X<200,critical/other existing credit,new car,0.0442,<100,>=7,male single,0.36,skilled,bad
no checking,critical/other existing credit,furniture/equipment,0.068,<100,1<=X<4,male single,0.31,skilled,good
0<=X<200,no credits/all paid,used car,0.25645,<100,>=7,female div/sep/mar,0.74,high qualif/self emp/mgmt,bad
0<=X<200,critical/other existing credit,new car,0.05875,<100,unemployed,male single,0.68,unemp/unskilled non res,good
<0,existing paid,furniture/equipment,0.0337,100<=X<500,4<=X<7,male mar/wid/div/sep,0.2,skilled,bad
0<=X<200,no credits/all paid,furniture/equipment,0.1622,<100,1<=X<4,female div/sep/mar,0.33,skilled,good
no checking,existing paid,business,0.22955,>=1000,1<=X<4,male single,0.54,high qualif/self emp/mgmt,bad
0<=X<200,no credits/all paid,business,0.1922,100<=X<500,4<=X<7,male single,0.34,unskilled resident,bad
0<=X<200,existing paid,business,0.19575,<100,1<=X<4,male single,0.36,skilled,bad
no checking,existing paid,furniture/equipment,0.1054,<100,4<=X<7,male mar/wid/div/sep,0.29,skilled,good
0<=X<200,existing paid,furniture/equipment,0.15155,100<=X<500,1<=X<4,male single,0.21,skilled,bad
0<=X<200,critical/other existing credit,education,0.07505,<100,>=7,female div/sep/mar,0.34,high qualif/self emp/mgmt,bad
no checking,critical/other existing credit,furniture/equipment,0.0691,<100,1<=X<4,female div/sep/mar,0.28,skilled,good
0<=X<200,existing paid,furniture/equipment,0.04755,100<=X<500,<1,female div/sep/mar,0.27,skilled,bad
0<=X<200,existing paid,used car,0.138,unknown,>=7,male single,0.36,skilled,good
0<=X<200,delayed previously,furniture/equipment,0.21485,<100,>=7,male mar/wid/div/sep,0.4,high qualif/self emp/mgmt,bad
no checking,critical/other existing credit,education,0.0468,500<=X<1000,>=7,male single,0.52,skilled,good
<0,existing paid,new car,0.0584,<100,1<=X<4,male mar/wid/div/sep,0.27,unskilled resident,good
no checking,delayed previously,business,0.25585,<100,4<=X<7,male single,0.26,skilled,good
<0,existing paid,retraining,0.0451,<100,4<=X<7,male mar/wid/div/sep,0.21,skilled,bad
no checking,critical/other existing credit,new car,0.07475,<100,>=7,male single,0.38,unskilled resident,good
<0,critical/other existing credit,used car,0.53115,<100,>=7,male single,0.38,high qualif/self emp/mgmt,good
no checking,critical/other existing credit,furniture/equipment,0.09675,<100,>=7,male single,0.43,skilled,good
0<=X<200,critical/other existing credit,furniture/equipment,0.0712,<100,4<=X<7,male single,0.26,skilled,good
<0,existing paid,business,0.3284,<100,1<=X<4,male mar/wid/div/sep,0.21,unskilled resident,good
no checking,existing paid,used car,0.07065,>=1000,4<=X<7,male single,0.55,skilled,good
no checking,critical/other existing credit,furniture/equipment,0.1537,unknown,1<=X<4,male single,0.33,skilled,good
no checking,existing paid,furniture/equipment,0.19175,unknown,>=7,female div/sep/mar,0.45,unskilled resident,good
<0,no credits/all paid,business,0.26465,<100,unemployed,male single,0.5,skilled,bad
>=200,delayed previously,business,0.0954,<100,>=7,male single,0.66,high qualif/self emp/mgmt,bad
no checking,critical/other existing credit,furniture/equipment,0.1671,unknown,>=7,male single,0.51,skilled,good
0<=X<200,critical/other existing credit,retraining,0.0466,unknown,4<=X<7,female div/sep/mar,0.39,unskilled resident,good
<0,no credits/all paid,business,0.1552,<100,4<=X<7,male single,0.31,skilled,good
>=200,existing paid,furniture/equipment,0.19565,<100,1<=X<4,male single,0.23,skilled,good
<0,existing paid,furniture/equipment,0.15105,<100,1<=X<4,male mar/wid/div/sep,0.24,unskilled resident,good
no checking,existing paid,new car,0.0682,<100,1<=X<4,female div/sep/mar,0.64,skilled,good
0<=X<200,existing paid,furniture/equipment,0.03125,<100,<1,male mar/wid/div/sep,0.26,unskilled resident,good
<0,existing paid,education,0.06,unknown,1<=X<4,female div/sep/mar,0.23,skilled,good
no checking,existing paid,furniture/equipment,0.03535,<100,1<=X<4,male single,0.3,skilled,good
no checking,delayed previously,business,0.1489,unknown,1<=X<4,male single,0.32,skilled,good
no checking,existing paid,used car,0.23285,<100,1<=X<4,male single,0.3,skilled,good
no checking,no credits/all paid,repairs,0.13065,<100,1<=X<4,male single,0.27,skilled,good
0<=X<200,existing paid,furniture/equipment,0.54805,>=1000,4<=X<7,male single,0.27,skilled,bad
<0,existing paid,furniture/equipment,0.39325,<100,>=7,male single,0.53,high qualif/self emp/mgmt,bad
no checking,existing paid,furniture/equipment,0.0739,<100,4<=X<7,male single,0.22,skilled,bad
<0,existing paid,furniture/equipment,0.15745,<100,<1,male single,0.22,skilled,good
>=200,existing paid,furniture/equipment,0.2105,<100,1<=X<4,male single,0.26,skilled,bad
no checking,existing paid,new car,0.12535,500<=X<1000,>=7,male single,0.51,unskilled resident,good
no checking,existing paid,furniture/equipment,0.10705,100<=X<500,4<=X<7,male single,0.35,skilled,good
0<=X<200,existing paid,furniture/equipment,0.0433,<100,1<=X<4,male mar/wid/div/sep,0.25,unskilled resident,good
no checking,critical/other existing credit,furniture/equipment,0.0772,<100,4<=X<7,male single,0.42,unskilled resident,good
<0,existing paid,furniture/equipment,0.09115,<100,unemployed,male single,0.3,high qualif/self emp/mgmt,bad
0<=X<200,existing paid,new car,0.72775,unknown,unemployed,male single,0.23,unemp/unskilled non res,bad
0<=X<200,existing paid,business,0.13835,100<=X<500,>=7,male mar/wid/div/sep,0.61,unskilled resident,bad
no checking,critical/other existing credit,furniture/equipment,0.06455,<100,1<=X<4,female div/sep/mar,0.35,skilled,good
<0,existing paid,furniture/equipment,0.1261,<100,>=7,male single,0.39,skilled,good
<0,existing paid,new car,0.04575,unknown,>=7,female div/sep/mar,0.29,skilled,bad
no checking,existing paid,furniture/equipment,0.07975,<100,4<=X<7,male single,0.51,skilled,good
<0,no credits/all paid,used car,0.23025,<100,>=7,male single,0.24,skilled,bad
no checking,critical/other existing credit,business,0.05925,<100,1<=X<4,female div/sep/mar,0.27,skilled,good
no checking,no credits/all paid,retraining,0.17235,500<=X<1000,1<=X<4,female div/sep/mar,0.35,unskilled resident,good
no checking,existing paid,business,0.0629,<100,4<=X<7,male single,0.25,skilled,good
no checking,critical/other existing credit,furniture/equipment,0.03585,<100,>=7,male single,0.52,skilled,good
no checking,no credits/all paid,new car,0.0602,100<=X<500,1<=X<4,male single,0.35,skilled,good
>=200,existing paid,furniture/equipment,0.09625,<100,1<=X<4,male single,0.26,skilled,good
no checking,existing paid,furniture/equipment,0.02165,<100,unemployed,female div/sep/mar,0.22,skilled,bad
<0,critical/other existing credit,new car,0.0333,>=1000,4<=X<7,female div/sep/mar,0.39,unskilled resident,good
>=200,existing paid,furniture/equipment,0.11255,<100,1<=X<4,female div/sep/mar,0.46,unskilled resident,good
0<=X<200,existing paid,new car,0.1075,<100,1<=X<4,female div/sep/mar,0.24,skilled,bad
no checking,delayed previously,furniture/equipment,0.20755,100<=X<500,1<=X<4,male single,0.35,skilled,good
0<=X<200,existing paid,furniture/equipment,0.1015,unknown,4<=X<7,male single,0.24,skilled,good
0<=X<200,delayed previously,furniture/equipment,0.3709,unknown,1<=X<4,male single,0.27,unskilled resident,good
no checking,critical/other existing credit,furniture/equipment,0.1342,<100,1<=X<4,male single,0.35,unskilled resident,good
<0,no credits/all paid,furniture/equipment,0.10745,<100,1<=X<4,male mar/wid/div/sep,0.29,skilled,bad
no checking,existing paid,used car,0.1906,100<=X<500,<1,female div/sep/mar,0.23,skilled,good
no checking,critical/other existing credit,furniture/equipment,0.0577,100<=X<500,unemployed,female div/sep/mar,0.57,unskilled resident,good
<0,existing paid,furniture/equipment,0.08285,<100,1<=X<4,male single,0.27,skilled,good
<0,existing paid,furniture/equipment,0.08015,<100,>=7,female div/sep/mar,0.55,skilled,good
<0,critical/other existing credit,new car,0.2651,<100,>=7,male single,0.36,high qualif/self emp/mgmt,good
no checking,critical/other existing credit,education,0.1374,<100,>=7,female div/sep/mar,0.57,unskilled resident,good
no checking,critical/other existing credit,new car,0.06155,<100,>=7,male single,0.32,unskilled resident,good
0<=X<200,existing paid,furniture/equipment,0.0401,<100,>=7,male single,0.37,skilled,bad
no checking,critical/other existing credit,business,0.3152,unknown,>=7,male single,0.36,skilled,good
no checking,existing paid,furniture/equipment,0.07665,<100,<1,female div/sep/mar,0.38,skilled,good
<0,existing paid,new car,0.4489,<100,>=7,male mar/wid/div/sep,0.45,high qualif/self emp/mgmt,bad
no checking,existing paid,furniture/equipment,0.04995,unknown,>=7,male single,0.25,skilled,good
no checking,existing paid,new car,0.1331,unknown,4<=X<7,male single,0.32,skilled,good
no checking,critical/other existing credit,furniture/equipment,0.0701,500<=X<1000,4<=X<7,female div/sep/mar,0.37,skilled,good
0<=X<200,no credits/all paid,new car,0.60845,unknown,unemployed,male single,0.36,high qualif/self emp/mgmt,good
0<=X<200,existing paid,furniture/equipment,0.153,<100,4<=X<7,male single,0.28,skilled,bad
<0,existing paid,repairs,0.5999,<100,<1,male mar/wid/div/sep,0.34,unskilled resident,bad
no checking,existing paid,furniture/equipment,0.13485,<100,1<=X<4,male single,0.32,skilled,good
no checking,critical/other existing credit,furniture/equipment,0.1202,<100,1<=X<4,female div/sep/mar,0.26,skilled,good
<0,existing paid,furniture/equipment,0.0631,unknown,>=7,male mar/wid/div/sep,0.49,unskilled resident,good
no checking,existing paid,furniture/equipment,0.23055,<100,<1,female div/sep/mar,0.32,skilled,bad
no checking,existing paid,furniture/equipment,0.09505,100<=X<500,1<=X<4,male single,0.29,high qualif/self emp/mgmt,good
no checking,critical/other existing credit,used car,0.1684,>=1000,>=7,male single,0.23,skilled,good
