Checking Status,Credit History,Purpose,Credit Requested,Saving Status,Employment,Personal Status,Age,Job,Class
<0,critical/other existing credit,furniture/equipment,4281,>500,0<X<4,div/sep/mar/wid,23,skilled,bad
0<=X<200,critical/other existing credit,new car,2366,>500,4<=X<7,div/sep/mar/wid,36,high qualif/self emp/mgmt,good
<0,existing paid,radio/tv,1835,<100,0<X<4,div/sep/mar/wid,25,skilled,bad
no checking,critical/other existing credit,used car,3868,<100,>=7,div/sep/mar/wid,41,high qualif/self emp/mgmt,good
no checking,existing paid,furniture/equipment,1768,<100,0<X<4,single,24,unskilled,good
>=200,critical/other existing credit,new car,781,<100,>=7,single,63,skilled,good
0<=X<200,existing paid,furniture/equipment,1924,unknown,0<X<4,div/sep/mar/wid,27,skilled,bad
<0,critical/other existing credit,new car,2121,<100,0<X<4,single,30,skilled,good
<0,existing paid,radio/tv,701,<100,0<X<4,div/sep/mar/wid,40,unskilled,good
0<=X<200,existing paid,repairs,639,<100,0<X<4,single,30,skilled,bad
0<=X<200,critical/other existing credit,used car,1860,<100,unemployed,single,34,high qualif/self emp/mgmt,good
<0,critical/other existing credit,new car,3499,<100,0<X<4,div/sep/mar/wid,29,skilled,bad
0<=X<200,existing paid,new car,8487,unknown,4<=X<7,div/sep/mar/wid,24,skilled,good
<0,delayed previously,education,6887,<100,0<X<4,single,29,skilled,bad
no checking,existing paid,furniture/equipment,2708,<100,0<X<4,single,27,unskilled,good
no checking,existing paid,furniture/equipment,1984,<100,0<X<4,single,47,skilled,good
no checking,existing paid,radio/tv,10144,100<=X<500,4<=X<7,div/sep/mar/wid,21,skilled,good
no checking,critical/other existing credit,radio/tv,1240,unknown,>=7,div/sep/mar/wid,38,skilled,good
no checking,delayed previously,used car,8613,>500,0<X<4,single,27,skilled,good
0<=X<200,existing paid,radio/tv,766,>500,0<X<4,single,66,unskilled,bad
0<=X<200,critical/other existing credit,radio/tv,2728,unknown,4<=X<7,single,35,skilled,good
>=200,existing paid,radio/tv,1881,<100,0<X<4,div/sep/mar/wid,44,unskilled,good
>=200,existing paid,new car,709,>500,0<X<4,div/sep/mar/wid,27,unskilled,good
0<=X<200,existing paid,radio/tv,4795,<100,0<X<4,div/sep/mar/wid,30,high qualif/self emp/mgmt,good
<0,existing paid,radio/tv,3416,<100,0<X<4,single,27,high qualif/self emp/mgmt,good
<0,existing paid,furniture/equipment,2462,<100,0<X<4,single,22,skilled,bad
no checking,critical/other existing credit,furniture/equipment,2288,<100,0<X<4,div/sep/mar/wid,23,skilled,good
0<=X<200,no credits/all paid,business,3566,100<=X<500,4<=X<7,single,30,skilled,good
<0,critical/other existing credit,new car,860,<100,>=7,div/sep/mar/wid,39,skilled,good
no checking,critical/other existing credit,new car,682,100<=X<500,4<=X<7,div/sep/mar/wid,51,skilled,good
<0,critical/other existing credit,furniture/equipment,5371,<100,0<X<4,single,28,skilled,good
no checking,critical/other existing credit,radio/tv,1582,>500,>=7,single,46,skilled,good
no checking,existing paid,radio/tv,1346,100<=X<500,>=7,single,42,skilled,good
no checking,existing paid,radio/tv,1924,<100,0<X<4,single,38,skilled,good
>=200,existing paid,radio/tv,5848,<100,0<X<4,single,24,skilled,good
0<=X<200,critical/other existing credit,used car,7758,>500,>=7,div/sep/mar/wid,29,skilled,good
0<=X<200,delayed previously,business,6967,100<=X<500,4<=X<7,single,36,high qualif/self emp/mgmt,good
<0,existing paid,furniture/equipment,1282,<100,0<X<4,div/sep/mar/wid,20,skilled,bad
<0,critical/other existing credit,repairs,1288,100<=X<500,>=7,single,48,skilled,good
<0,no credits/all paid,retraining,339,<100,>=7,div/sep/mar/wid,45,unskilled,good
0<=X<200,existing paid,new car,3512,100<=X<500,4<=X<7,single,38,skilled,good
no checking,critical/other existing credit,radio/tv,1898,unknown,0<X<4,single,34,unskilled,good
no checking,critical/other existing credit,radio/tv,2872,100<=X<500,>=7,single,36,skilled,good
no checking,critical/other existing credit,new car,1055,<100,0<X<4,div/sep/mar/wid,30,skilled,good
no checking,existing paid,furniture/equipment,1262,>500,4<=X<7,single,36,skilled,good
0<=X<200,existing paid,new car,7308,<100,unemployed,single,70,high qualif/self emp/mgmt,good
no checking,existing paid,new car,909,>500,>=7,single,36,skilled,good
no checking,existing paid,furniture/equipment,2978,>500,0<X<4,single,32,skilled,good
<0,existing paid,furniture/equipment,1131,<100,unemployed,div/sep/mar/wid,33,skilled,bad
0<=X<200,existing paid,furniture/equipment,1577,>500,0<X<4,div/sep/mar/wid,20,skilled,good
no checking,existing paid,furniture/equipment,3972,<100,4<=X<7,div/sep/mar/wid,25,skilled,good
0<=X<200,critical/other existing credit,business,1935,<100,>=7,div/sep/mar/wid,31,skilled,bad
<0,no credits/all paid,new car,950,<100,>=7,single,33,skilled,bad
no checking,existing paid,furniture/equipment,763,<100,0<X<4,div/sep/mar/wid,26,skilled,good
0<=X<200,delayed previously,furniture/equipment,2064,<100,unemployed,div/sep/mar/wid,34,high qualif/self emp/mgmt,bad
0<=X<200,existing paid,radio/tv,1414,<100,0<X<4,single,33,skilled,good
<0,delayed previously,education,3414,<100,0<X<4,single,26,skilled,bad
no checking,no credits/all paid,used car,7485,unknown,unemployed,div/sep/mar/wid,53,high qualif/self emp/mgmt,bad
<0,existing paid,furniture/equipment,2577,<100,0<X<4,div/sep/mar/wid,42,skilled,good
<0,critical/other existing credit,radio/tv,338,>500,>=7,single,52,skilled,good
no checking,existing paid,radio/tv,1963,<100,4<=X<7,single,31,high qualif/self emp/mgmt,good
<0,critical/other existing credit,new car,571,<100,>=7,single,65,skilled,good
no checking,delayed previously,business,9572,<100,0<X<4,div/sep/mar/wid,28,skilled,bad
0<=X<200,delayed previously,business,4455,<100,0<X<4,div/sep/mar/wid,30,high qualif/self emp/mgmt,bad
<0,no credits/all paid,new car,1647,unknown,0<X<4,single,40,unskilled,bad
no checking,critical/other existing credit,furniture/equipment,3777,>500,0<X<4,single,50,skilled,good
0<=X<200,critical/other existing credit,new car,884,<100,>=7,single,36,skilled,bad
no checking,critical/other existing credit,radio/tv,1360,<100,0<X<4,single,31,skilled,good
0<=X<200,no credits/all paid,used car,5129,<100,>=7,div/sep/mar/wid,74,high qualif/self emp/mgmt,bad
0<=X<200,critical/other existing credit,new car,1175,<100,unemployed,single,68,unskilled,good
<0,existing paid,radio/tv,674,100<=X<500,4<=X<7,div/sep/mar/wid,20,skilled,bad
0<=X<200,no credits/all paid,furniture/equipment,3244,<100,0<X<4,div/sep/mar/wid,33,skilled,good
no checking,existing paid,business,4591,>500,0<X<4,single,54,high qualif/self emp/mgmt,bad
0<=X<200,no credits/all paid,business,3844,100<=X<500,4<=X<7,single,34,unskilled,bad
0<=X<200,existing paid,business,3915,<100,0<X<4,single,36,skilled,bad
no checking,existing paid,radio/tv,2108,<100,4<=X<7,div/sep/mar/wid,29,skilled,good
0<=X<200,existing paid,radio/tv,3031,100<=X<500,0<X<4,single,21,skilled,bad
0<=X<200,critical/other existing credit,education,1501,<100,>=7,div/sep/mar/wid,34,high qualif/self emp/mgmt,bad
no checking,critical/other existing credit,radio/tv,1382,<100,0<X<4,div/sep/mar/wid,28,skilled,good
0<=X<200,existing paid,furniture/equipment,951,100<=X<500,0<X<4,div/sep/mar/wid,27,skilled,bad
0<=X<200,existing paid,used car,2760,unknown,>=7,single,36,skilled,good
0<=X<200,delayed previously,furniture/equipment,4297,<100,>=7,div/sep/mar/wid,40,high qualif/self emp/mgmt,bad
no checking,critical/other existing credit,education,936,>500,>=7,single,52,skilled,good
<0,existing paid,new car,1168,<100,0<X<4,div/sep/mar/wid,27,unskilled,good
no checking,delayed previously,business,5117,<100,4<=X<7,single,26,skilled,good
<0,existing paid,retraining,902,<100,4<=X<7,div/sep/mar/wid,21,skilled,bad
no checking,critical/other existing credit,new car,1495,<100,>=7,single,38,unskilled,good
<0,critical/other existing credit,used car,10623,<100,>=7,single,38,high qualif/self emp/mgmt,good
no checking,critical/other existing credit,furniture/equipment,1935,<100,>=7,single,43,skilled,good
0<=X<200,critical/other existing credit,furniture/equipment,1424,<100,4<=X<7,single,26,skilled,good
<0,existing paid,business,6568,<100,0<X<4,div/sep/mar/wid,21,unskilled,good
no checking,existing paid,used car,1413,>500,4<=X<7,single,55,skilled,good
no checking,critical/other existing credit,radio/tv,3074,unknown,0<X<4,single,33,skilled,good
no checking,existing paid,radio/tv,3835,unknown,>=7,div/sep/mar/wid,45,unskilled,good
<0,no credits/all paid,business,5293,<100,unemployed,single,50,skilled,bad
>=200,delayed previously,business,1908,<100,>=7,single,66,high qualif/self emp/mgmt,bad
no checking,critical/other existing credit,radio/tv,3342,unknown,>=7,single,51,skilled,good
0<=X<200,critical/other existing credit,retraining,932,unknown,4<=X<7,div/sep/mar/wid,39,unskilled,good
<0,no credits/all paid,business,3104,<100,4<=X<7,single,31,skilled,good
>=200,existing paid,radio/tv,3913,<100,0<X<4,single,23,skilled,good
<0,existing paid,furniture/equipment,3021,<100,0<X<4,div/sep/mar/wid,24,unskilled,good
no checking,existing paid,new car,1364,<100,0<X<4,div/sep/mar/wid,64,skilled,good
0<=X<200,existing paid,radio/tv,625,<100,0<X<4,div/sep/mar/wid,26,unskilled,good
<0,existing paid,education,1200,unknown,0<X<4,div/sep/mar/wid,23,skilled,good
no checking,existing paid,radio/tv,707,<100,0<X<4,single,30,skilled,good
no checking,delayed previously,business,2978,unknown,0<X<4,single,32,skilled,good
no checking,existing paid,used car,4657,<100,0<X<4,single,30,skilled,good
no checking,no credits/all paid,repairs,2613,<100,0<X<4,single,27,skilled,good
0<=X<200,existing paid,radio/tv,10961,>500,4<=X<7,single,27,skilled,bad
<0,existing paid,furniture/equipment,7865,<100,>=7,single,53,high qualif/self emp/mgmt,bad
no checking,existing paid,radio/tv,1478,<100,4<=X<7,single,22,skilled,bad
<0,existing paid,furniture/equipment,3149,<100,0<X<4,single,22,skilled,good
>=200,existing paid,radio/tv,4210,<100,0<X<4,single,26,skilled,bad
no checking,existing paid,new car,2507,>500,>=7,single,51,unskilled,good
no checking,existing paid,radio/tv,2141,100<=X<500,4<=X<7,single,35,skilled,good
0<=X<200,existing paid,radio/tv,866,<100,0<X<4,div/sep/mar/wid,25,unskilled,good
no checking,critical/other existing credit,radio/tv,1544,<100,4<=X<7,single,42,unskilled,good
<0,existing paid,radio/tv,1823,<100,unemployed,single,30,high qualif/self emp/mgmt,bad
0<=X<200,existing paid,new car,14555,unknown,unemployed,single,23,unskilled,bad
0<=X<200,existing paid,business,2767,100<=X<500,>=7,div/sep/mar/wid,61,unskilled,bad
no checking,critical/other existing credit,radio/tv,1291,<100,0<X<4,div/sep/mar/wid,35,skilled,good
<0,existing paid,radio/tv,2522,<100,>=7,single,39,skilled,good
<0,existing paid,new car,915,unknown,>=7,div/sep/mar/wid,29,skilled,bad
no checking,existing paid,radio/tv,1595,<100,4<=X<7,single,51,skilled,good
<0,no credits/all paid,used car,4605,<100,>=7,single,24,skilled,bad
no checking,critical/other existing credit,business,1185,<100,0<X<4,div/sep/mar/wid,27,skilled,good
no checking,no credits/all paid,retraining,3447,>500,0<X<4,div/sep/mar/wid,35,unskilled,good
no checking,existing paid,business,1258,<100,4<=X<7,single,25,skilled,good
no checking,critical/other existing credit,radio/tv,717,<100,>=7,single,52,skilled,good
no checking,no credits/all paid,new car,1204,100<=X<500,0<X<4,single,35,skilled,good
>=200,existing paid,furniture/equipment,1925,<100,0<X<4,single,26,skilled,good
no checking,existing paid,radio/tv,433,<100,unemployed,div/sep/mar/wid,22,skilled,bad
<0,critical/other existing credit,new car,666,>500,4<=X<7,div/sep/mar/wid,39,unskilled,good
>=200,existing paid,furniture/equipment,2251,<100,0<X<4,div/sep/mar/wid,46,unskilled,good
0<=X<200,existing paid,new car,2150,<100,0<X<4,div/sep/mar/wid,24,skilled,bad
no checking,delayed previously,furniture/equipment,4151,100<=X<500,0<X<4,single,35,skilled,good
0<=X<200,existing paid,furniture/equipment,2030,unknown,4<=X<7,single,24,skilled,good
0<=X<200,delayed previously,radio/tv,7418,unknown,0<X<4,single,27,unskilled,good
no checking,critical/other existing credit,radio/tv,2684,<100,0<X<4,single,35,unskilled,good
<0,no credits/all paid,radio/tv,2149,<100,0<X<4,div/sep/mar/wid,29,skilled,bad
no checking,existing paid,used car,3812,100<=X<500,0<X<4,div/sep/mar/wid,23,skilled,good
no checking,critical/other existing credit,radio/tv,1154,100<=X<500,unemployed,div/sep/mar/wid,57,unskilled,good
<0,existing paid,furniture/equipment,1657,<100,0<X<4,single,27,skilled,good
<0,existing paid,radio/tv,1603,<100,>=7,div/sep/mar/wid,55,skilled,good
<0,critical/other existing credit,new car,5302,<100,>=7,single,36,high qualif/self emp/mgmt,good
no checking,critical/other existing credit,education,2748,<100,>=7,div/sep/mar/wid,57,unskilled,good
no checking,critical/other existing credit,new car,1231,<100,>=7,single,32,unskilled,good
0<=X<200,existing paid,radio/tv,802,<100,>=7,single,37,skilled,bad
no checking,critical/other existing credit,business,6304,unknown,>=7,single,36,skilled,good
no checking,existing paid,radio/tv,1533,<100,0<X<4,div/sep/mar/wid,38,skilled,good
<0,existing paid,new car,8978,<100,>=7,div/sep/mar/wid,45,high qualif/self emp/mgmt,bad
no checking,existing paid,radio/tv,999,unknown,>=7,single,25,skilled,good
no checking,existing paid,new car,2662,unknown,4<=X<7,single,32,skilled,good
no checking,critical/other existing credit,furniture/equipment,1402,>500,4<=X<7,div/sep/mar/wid,37,skilled,good
0<=X<200,no credits/all paid,new car,12169,unknown,unemployed,single,36,high qualif/self emp/mgmt,good
0<=X<200,existing paid,radio/tv,3060,<100,4<=X<7,single,28,skilled,bad
<0,existing paid,repairs,11998,<100,0<X<4,div/sep/mar/wid,34,unskilled,bad
no checking,existing paid,radio/tv,2697,<100,0<X<4,single,32,skilled,good
no checking,critical/other existing credit,radio/tv,2404,<100,0<X<4,div/sep/mar/wid,26,skilled,good
<0,existing paid,furniture/equipment,1262,unknown,>=7,div/sep/mar/wid,49,unskilled,good
no checking,existing paid,furniture/equipment,4611,<100,0<X<4,div/sep/mar/wid,32,skilled,bad
no checking,existing paid,radio/tv,1901,100<=X<500,0<X<4,single,29,high qualif/self emp/mgmt,good
no checking,critical/other existing credit,used car,3368,>500,>=7,single,23,skilled,good
no checking,existing paid,furniture/equipment,1574,<100,0<X<4,single,50,skilled,good
>=200,no credits/all paid,radio/tv,1445,unknown,4<=X<7,single,49,unskilled,good
no checking,critical/other existing credit,furniture/equipment,1520,unknown,>=7,single,63,skilled,good
0<=X<200,critical/other existing credit,new car,3878,100<=X<500,0<X<4,div/sep/mar/wid,37,skilled,good
<0,existing paid,new car,10722,<100,0<X<4,div/sep/mar/wid,35,unskilled,good
<0,existing paid,used car,4788,<100,4<=X<7,single,26,skilled,good
0<=X<200,delayed previously,other,7582,100<=X<500,unemployed,single,31,high qualif/self emp/mgmt,good
0<=X<200,existing paid,radio/tv,1092,<100,0<X<4,div/sep/mar/wid,49,skilled,good
<0,delayed previously,radio/tv,1024,<100,0<X<4,div/sep/mar/wid,48,skilled,bad
no checking,existing paid,business,1076,<100,0<X<4,div/sep/mar/wid,26,skilled,good
0<=X<200,existing paid,used car,9398,<100,0<X<4,div/sep/mar/wid,28,high qualif/self emp/mgmt,bad
<0,critical/other existing credit,used car,6419,<100,>=7,div/sep/mar/wid,44,high qualif/self emp/mgmt,good
>=200,critical/other existing credit,used car,4796,<100,>=7,single,56,skilled,good
no checking,critical/other existing credit,business,7629,unknown,>=7,div/sep/mar/wid,46,high qualif/self emp/mgmt,good
0<=X<200,existing paid,furniture/equipment,9960,<100,0<X<4,div/sep/mar/wid,26,skilled,bad
no checking,existing paid,used car,4675,unknown,0<X<4,div/sep/mar/wid,20,skilled,good
no checking,existing paid,new car,1287,unknown,>=7,single,45,unskilled,good
no checking,existing paid,furniture/equipment,2515,<100,0<X<4,single,43,skilled,good
0<=X<200,critical/other existing credit,furniture/equipment,2745,>500,4<=X<7,single,32,skilled,good
no checking,existing paid,new car,672,<100,unemployed,div/sep/mar/wid,54,unskilled,good
0<=X<200,no credits/all paid,radio/tv,3804,<100,0<X<4,div/sep/mar/wid,42,skilled,bad
>=200,critical/other existing credit,new car,1344,unknown,4<=X<7,single,37,unskilled,bad
<0,critical/other existing credit,new car,1038,<100,4<=X<7,single,49,skilled,good
no checking,critical/other existing credit,new car,10127,>500,0<X<4,single,44,skilled,bad
no checking,existing paid,furniture/equipment,1543,>500,0<X<4,div/sep/mar/wid,33,skilled,good
no checking,existing paid,used car,4811,unknown,4<=X<7,div/sep/mar/wid,24,unskilled,good
<0,existing paid,radio/tv,727,100<=X<500,0<X<4,div/sep/mar/wid,33,unskilled,bad
0<=X<200,existing paid,furniture/equipment,1237,<100,0<X<4,div/sep/mar/wid,24,skilled,bad
0<=X<200,existing paid,new car,276,<100,0<X<4,div/sep/mar/wid,22,unskilled,good
0<=X<200,existing paid,other,5381,unknown,unemployed,single,40,unskilled,good
no checking,existing paid,furniture/equipment,5511,100<=X<500,0<X<4,single,25,skilled,good
>=200,existing paid,furniture/equipment,3749,<100,0<X<4,div/sep/mar/wid,26,skilled,good
0<=X<200,existing paid,new car,685,<100,4<=X<7,div/sep/mar/wid,25,unskilled,bad
>=200,existing paid,new car,1494,unknown,0<X<4,single,29,unskilled,good
<0,no credits/all paid,furniture/equipment,2746,<100,>=7,single,31,skilled,bad
<0,existing paid,furniture/equipment,708,<100,0<X<4,single,38,unskilled,good
